run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,conceded
1,150,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,123,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,218,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,141,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,225,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,138,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,148,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,87,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,128,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,206,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,142,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,148,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,103,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,134,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,123,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,142,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,282,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,127,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,161,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,166,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,286,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,135,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,162,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,112,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,125,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,139,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,159,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,138,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,168,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,125,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,140,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,134,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
