run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,conceded
1,197,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,167,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,169,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,167,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,226,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,143,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,168,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,234,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,122,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,120,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,155,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,152,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,118,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,159,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,144,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,142,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,94,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,156,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,101,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,190,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,114,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,168,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,77,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,90,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,100,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,106,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,200,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,112,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,96,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
