run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,conceded
1,150,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,123,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,218,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,141,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,225,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,146,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,148,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,87,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,128,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,206,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,142,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,148,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,103,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,142,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,123,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,142,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,288,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,127,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,161,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,169,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,287,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,135,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,162,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,112,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,125,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,112,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,193,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,119,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,154,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,110,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,141,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,118,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,140,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,131,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,106,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,123,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,169,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,208,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,142,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,138,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,267,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,162,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,193,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,125,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,129,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,121,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,116,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,179,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,255,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,123,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,182,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,152,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,162,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,143,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,172,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,93,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,108,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,76,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,162,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,154,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,142,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,102,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,105,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,91,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,93,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,149,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,127,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,175,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,111,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
