run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,conceded
1,150,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,123,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,218,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,141,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,225,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,138,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,148,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,87,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,128,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,206,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,142,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,148,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,103,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,134,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,123,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,142,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,282,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,127,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,161,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,166,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,286,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,135,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,162,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,112,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,125,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,112,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,193,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,119,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,313,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,110,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,141,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,118,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,140,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,131,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,106,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,123,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,169,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,264,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,142,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,138,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,270,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,162,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,193,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,125,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,129,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,121,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,116,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,187,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,255,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,123,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,182,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,152,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,172,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,143,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,172,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,93,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,108,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,76,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,162,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,154,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,157,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,102,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,105,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,91,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,93,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,149,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,127,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,175,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,111,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,123,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,283,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,176,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,88,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,92,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,140,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,169,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,131,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,152,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,137,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,154,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,177,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,176,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,102,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,136,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,143,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,144,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
87,92,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
88,157,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,141,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,160,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91,101,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92,110,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93,170,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,186,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95,122,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,302,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97,155,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
98,114,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,139,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,189,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
101,104,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102,233,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103,107,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104,109,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105,207,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
106,173,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
107,228,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
108,123,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
109,120,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110,187,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
111,214,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112,149,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113,133,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
114,218,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
115,124,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116,137,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
117,127,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118,101,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
119,193,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120,106,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
121,134,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122,136,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
123,108,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
124,123,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
125,93,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
126,124,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
127,321,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
128,140,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
129,3000,4797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130,171,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
131,237,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
132,242,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
133,277,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
134,357,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135,3000,4309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
136,100,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
137,3000,3986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
138,346,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
139,196,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140,423,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141,268,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
142,163,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
143,127,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
144,444,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
145,290,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
146,177,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
147,125,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
148,255,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
149,523,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
150,297,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151,226,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
152,222,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
153,220,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
154,124,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
155,273,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
156,189,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
157,3000,3809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
158,3000,3772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
159,279,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
160,3000,4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
161,512,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162,369,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
