run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,conceded
1,352,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,443,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,542,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,384,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,337,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,552,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,462,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,449,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,463,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,387,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,617,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,573,1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,518,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,718,1593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,552,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,434,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,365,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,357,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,463,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,460,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,301,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,445,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,581,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,390,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,696,1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,367,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,728,1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,341,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,621,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,501,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,365,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,509,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,299,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,488,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,317,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,375,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,439,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,561,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,304,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,320,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,485,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,880,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,407,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,433,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,503,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,356,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,804,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,332,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,675,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,430,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,418,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,392,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,310,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,1020,1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,499,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,652,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,532,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,419,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,417,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,341,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,399,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,425,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,540,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,605,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,479,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,480,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,379,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,572,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,443,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,359,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,484,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,606,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,369,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,374,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,355,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,674,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,333,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,388,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,716,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,787,1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,747,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,316,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,470,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,533,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,566,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,1091,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
87,1199,2234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
88,483,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,396,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,1086,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91,8000,10570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92,467,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93,8000,10379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,8000,10555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95,955,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,1148,2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97,8000,9898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
98,616,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,8000,10316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,8000,10626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
101,646,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102,1149,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103,937,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104,8000,10362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105,359,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
106,317,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
107,1586,2747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
108,969,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
109,620,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110,8000,10668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
111,8000,11690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112,497,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113,846,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
114,493,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
115,814,1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116,351,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
117,623,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118,1137,2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
119,510,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120,980,1687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
121,491,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122,808,1581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
123,356,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
124,425,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
125,553,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
126,8000,9292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
127,1141,2183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
128,783,1551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
129,611,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130,8000,10671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
131,377,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
132,1150,2247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
133,974,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
134,1070,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135,820,1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
136,387,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
137,455,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
138,1072,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
139,791,1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140,523,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141,758,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
142,492,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
143,304,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
144,1563,2423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
145,738,1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
146,592,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
147,8000,10348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
148,640,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
149,1065,1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
150,754,1427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151,8000,9741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
152,820,1726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
153,8000,10026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
154,8000,10462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
155,631,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
156,1060,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
157,568,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
158,975,1877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
159,922,1714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
160,503,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
161,8000,9894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
162,851,1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
163,495,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
164,1347,2467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
165,427,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
166,1236,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
167,727,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
168,8000,9776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
169,1262,2289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
170,1456,2662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
171,8000,11486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
172,843,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
173,931,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
174,8000,10774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
175,8000,10141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
176,1186,2271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
177,385,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
178,606,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
179,1080,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
180,431,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
181,8000,12502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
182,1450,2979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
183,1238,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
184,562,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
185,993,2127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
186,8000,11677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
187,721,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
188,999,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
189,8000,12132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
190,8000,10615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
191,608,1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
192,8000,10376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
193,8000,10056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
194,382,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
195,1288,2447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
196,457,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
197,8000,9838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
198,587,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
199,8000,9882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200,359,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
201,537,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
202,409,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203,471,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204,456,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
205,8000,10224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
206,8000,10102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
207,365,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
208,8000,9702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
209,8000,8527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
210,542,1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
211,8000,10197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
212,811,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
213,8000,10700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
214,441,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
215,8000,9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
216,1035,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
217,1083,2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
218,945,1791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
219,915,1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
220,424,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
221,718,1442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
222,454,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
223,1261,2187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
224,573,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
225,538,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
226,8000,9579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
227,8000,9924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
228,554,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
229,485,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230,1006,1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
231,466,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
232,748,1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
233,355,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
234,1049,1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
235,577,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
236,551,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
237,883,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
238,1110,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
239,579,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
240,523,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
241,8000,8857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
242,1126,2252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
243,385,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
244,519,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
245,494,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
246,8000,10304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
247,696,1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
248,884,1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
249,735,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
250,644,1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
251,8000,10832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
252,395,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
253,375,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
254,616,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
255,660,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
256,353,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
257,664,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
258,342,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
259,515,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
260,568,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
261,486,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
262,621,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
263,408,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
264,423,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
265,796,1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
266,413,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267,383,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
268,471,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
269,658,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
270,548,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
271,397,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
272,413,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
273,532,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
274,756,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
275,558,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
276,456,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
277,519,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
278,648,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
279,373,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
280,533,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
281,443,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
282,529,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
283,706,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
284,468,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
285,459,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
286,607,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
287,621,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
288,308,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
289,434,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
290,392,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
291,427,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
292,403,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
293,393,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
294,501,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
295,470,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
296,406,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
297,438,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
298,387,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
299,316,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300,704,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
301,421,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
302,482,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
303,620,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
304,605,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
305,505,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
306,366,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
307,338,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
308,492,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
309,465,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
310,490,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
311,410,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
312,540,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
313,438,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
314,450,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
315,476,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
316,610,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
317,567,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
318,470,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
319,625,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
320,563,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
321,388,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
322,395,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
323,340,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
324,342,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
325,590,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
326,537,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
327,442,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
328,352,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
329,406,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
330,685,1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
331,502,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
332,622,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
333,625,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
334,413,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
335,601,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
336,583,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
337,8000,9964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
338,393,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
339,692,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
340,535,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
341,8000,10538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
342,492,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
343,435,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
344,426,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
345,344,878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
346,821,1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
347,504,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
348,1365,2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
349,524,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
350,597,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
351,863,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
352,8000,10320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
353,333,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
354,837,1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
355,499,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
356,414,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
357,635,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
358,8000,10866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
359,813,1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
360,462,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
361,325,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
362,875,1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
363,460,1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
364,810,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
365,1283,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
366,1309,2368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
367,1157,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
