run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,conceded
1,197,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,202,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,169,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,167,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,226,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,143,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,168,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,232,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,122,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,120,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,141,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,152,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,118,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,159,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,144,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,142,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,94,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,149,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,101,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,190,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,101,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,116,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,77,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,92,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,100,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,106,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,161,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,112,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,79,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,262,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,190,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,133,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,127,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,136,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,99,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,123,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,123,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,131,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,193,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,73,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,159,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,184,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,143,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,250,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,170,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,179,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,387,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,198,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,186,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,129,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,221,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,138,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,348,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,109,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,132,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,93,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,213,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,91,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,127,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,184,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,161,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,189,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,101,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,135,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,135,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,185,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,123,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,97,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,122,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,346,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,167,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,163,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,114,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,198,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,114,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,201,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,153,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,137,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,137,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,192,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,131,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,177,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,95,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,133,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,125,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,101,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
87,117,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
88,109,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,131,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,190,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91,142,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92,150,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93,201,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,127,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95,162,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,105,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97,139,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
98,112,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,144,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,258,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
101,223,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102,216,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103,121,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104,84,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105,145,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
106,129,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
107,317,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
108,99,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
109,116,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110,147,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
111,113,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112,194,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113,130,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
114,149,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
115,214,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116,157,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
117,115,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118,151,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
119,127,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120,93,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
