run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,conceded
1,156,1249,7847,74,33,1559,0,0,2,0,0,0,0,0,0,156,
2,61,493,4784,12,5,91,0,0,1,1,0,0,0,0,0,61,
3,242,1350,15046,37,32,2042,0,0,6,4,1,0,0,0,0,242,
4,128,746,7200,14,11,717,0,0,2,1,0,0,0,0,0,128,
5,197,1144,11825,33,37,1779,0,0,3,1,0,0,0,0,0,197,
6,115,746,7473,14,15,693,0,0,4,1,0,0,0,0,0,115,
7,169,997,11177,20,38,1664,0,0,2,0,0,0,0,0,0,169,
8,76,490,4646,10,8,291,0,0,3,1,0,0,0,0,0,76,
9,103,592,5464,10,15,551,0,0,3,1,0,0,0,0,0,103,
10,135,795,8311,28,22,1104,0,0,4,2,1,0,0,0,0,135,
11,178,941,10675,8,20,990,0,0,2,1,0,0,0,0,0,178,
12,78,523,5412,6,7,272,0,0,2,2,1,0,0,0,0,78,
13,86,470,5396,4,2,67,0,0,0,0,0,0,0,0,0,86,
14,120,698,7500,10,19,741,0,0,3,2,0,0,0,0,0,120,
15,81,565,5164,36,10,423,0,0,3,2,1,0,0,0,0,81,
16,178,980,11520,9,31,1401,0,0,4,2,0,0,0,0,0,178,
17,132,764,8077,13,23,1174,0,0,2,1,0,0,0,0,0,132,
18,74,516,4915,9,12,459,0,0,3,1,0,0,0,0,0,74,
19,202,1014,10667,35,35,1996,0,0,2,1,1,0,0,0,0,202,
20,92,580,5771,11,14,553,0,0,3,1,0,0,0,0,0,92,
21,80,508,5127,7,7,388,0,0,5,2,1,0,0,0,0,80,
22,100,513,4978,5,9,303,0,0,2,1,0,0,0,0,0,100,
23,131,724,7787,10,10,652,0,0,2,2,0,0,0,0,0,131,
24,87,571,5170,9,13,472,0,0,3,1,0,0,0,0,0,87,
25,140,745,8374,10,15,701,0,0,3,1,0,0,0,0,0,140,
26,77,477,3934,10,8,396,0,0,2,1,0,0,0,0,0,77,
27,119,596,6196,11,9,505,0,0,3,2,0,0,0,0,0,119,
28,205,1112,12652,19,39,1725,0,0,3,1,0,0,0,0,0,205,
29,84,829,5071,35,8,391,0,0,3,1,0,0,0,0,0,84,
30,86,668,5702,61,10,373,0,0,3,2,1,0,0,0,0,86,
31,120,686,6280,34,4,314,0,0,3,2,1,0,0,0,0,120,
32,150,732,7391,10,15,617,0,0,2,1,0,0,0,0,0,150,
33,111,594,5949,5,7,331,0,0,2,1,0,0,0,0,0,111,
34,91,553,5487,12,13,647,0,0,4,2,0,0,0,0,0,91,
35,98,527,5130,3,16,565,0,0,3,0,0,0,0,0,0,98,
36,95,500,5822,3,4,154,0,0,1,1,0,0,0,0,0,95,
37,109,597,6937,5,11,431,0,0,2,2,0,0,0,0,0,109,
38,93,510,5155,6,5,380,0,0,4,1,1,0,0,0,0,93,
39,116,594,6403,8,13,565,0,0,3,1,0,0,0,0,0,116,
40,121,685,7596,8,21,1016,0,0,2,2,0,0,0,0,0,121,
41,106,539,6106,9,10,389,0,0,2,2,0,0,0,0,0,106,
42,79,439,4949,5,4,156,0,0,2,1,0,0,0,0,0,79,
43,121,585,6856,8,8,483,0,0,3,1,1,0,0,0,0,121,
44,190,1047,11983,16,33,1731,0,0,3,1,0,0,0,0,0,190,
45,86,520,5704,4,8,261,0,0,1,0,0,0,0,0,0,86,
46,93,515,6083,5,8,191,0,0,1,0,0,0,0,0,0,93,
47,123,648,7372,12,16,629,0,0,3,3,1,0,0,0,0,123,
48,95,590,6355,7,14,726,0,0,4,3,0,0,0,0,0,95,
49,105,567,6120,9,6,268,0,0,2,2,1,0,0,0,0,105,
50,224,1130,13159,28,28,1870,0,0,7,2,1,0,0,0,0,224,
51,221,1120,11774,56,28,2196,0,0,5,4,1,0,0,0,0,221,
52,181,910,10531,14,21,1088,0,0,3,2,0,0,0,0,0,181,
53,342,1651,19519,42,44,3969,0,0,9,5,1,0,0,0,0,342,
54,136,793,8236,13,33,1388,0,0,2,1,0,0,0,0,0,136,
55,111,598,6354,5,12,474,0,0,2,1,0,0,0,0,0,111,
56,187,859,9331,11,19,1252,0,0,6,0,0,0,0,0,0,187,
57,150,770,8456,6,25,975,0,0,2,0,0,0,0,0,0,150,
58,191,798,9552,4,10,704,0,0,7,2,0,0,0,0,0,191,
59,148,825,9222,11,35,1272,0,0,4,1,0,0,0,0,0,148,
60,164,889,10243,39,12,919,0,0,8,3,1,0,0,0,0,164,
61,133,665,7193,6,14,654,0,0,3,0,0,0,0,0,0,133,
62,137,747,8153,14,11,658,0,0,4,2,0,0,0,0,0,137,
63,76,511,4254,8,2,150,0,0,2,0,0,0,0,0,0,76,
64,115,654,6961,7,10,547,0,0,2,1,0,0,0,0,0,115,
65,170,925,9858,21,28,1720,0,0,6,3,0,0,0,0,0,170,
66,130,707,7548,10,14,1129,0,0,3,1,0,0,0,0,0,130,
67,85,484,5216,8,7,317,0,0,2,1,1,0,0,0,0,85,
68,196,1117,12122,47,26,1750,0,0,7,2,1,0,0,0,0,196,
69,87,538,5292,6,10,471,0,0,3,1,0,0,0,0,0,87,
70,169,936,10884,29,20,1354,0,0,6,3,1,0,0,0,0,169,
71,162,827,9283,14,34,1486,0,0,1,0,0,0,0,0,0,162,
72,102,547,5928,7,12,449,0,0,1,1,0,0,0,0,0,102,
73,68,396,4291,3,2,81,0,0,1,0,0,0,0,0,0,68,
74,94,522,5087,10,19,571,0,0,2,1,0,0,0,0,0,94,
75,184,1026,11455,48,24,1451,0,0,5,3,1,0,0,0,0,184,
