run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,conceded
1,98,1360,6513,255,131,14585,0,0,61,33,23,0,0,0,0,98,
2,61,990,6071,180,111,14259,0,0,69,30,20,0,0,0,0,61,
3,131,2578,10859,616,206,78288,0,0,147,81,50,0,0,0,0,131,
4,89,1653,7743,464,179,54342,0,0,108,51,30,0,0,0,0,89,
5,235,3630,16837,1310,281,161950,0,0,194,106,63,0,0,0,0,235,
6,212,4335,15525,1995,338,293382,0,0,218,106,56,0,0,0,0,212,
7,145,1963,11135,387,231,82856,0,0,156,77,44,0,0,0,0,145,
8,114,1549,9888,292,182,52441,0,0,126,53,28,0,0,0,0,114,
9,93,1075,7107,204,148,24088,0,0,84,43,29,0,0,0,0,93,
10,182,2019,13078,434,252,98466,0,0,158,68,41,0,0,0,0,182,
11,115,1460,9147,259,192,30420,0,0,118,58,37,0,0,0,0,115,
12,133,1904,11403,401,263,87488,0,0,166,92,57,0,0,0,0,133,
13,104,1325,8861,321,190,34983,0,0,111,55,33,0,0,0,0,104,
14,187,3123,13404,1233,262,138303,0,0,178,99,57,0,0,0,0,187,
15,98,1393,8183,273,174,49175,0,0,105,57,39,0,0,0,0,98,
16,171,4129,15107,1896,328,272893,0,0,229,129,76,0,0,0,0,171,
17,210,3654,18136,1245,377,412206,0,0,269,131,74,0,0,0,0,210,
18,72,1104,6878,195,134,30662,0,0,88,47,30,0,0,0,0,72,
19,196,2440,15419,658,318,175537,0,0,212,93,56,0,0,0,0,196,
20,99,1401,9101,268,173,53666,0,0,129,64,34,0,0,0,0,99,
21,264,7719,21757,4602,440,497745,0,0,325,166,100,0,0,0,0,264,
22,102,1063,6878,146,111,14732,0,0,71,33,21,0,0,0,0,102,
23,107,1552,9594,323,201,45414,0,0,131,60,37,0,0,0,0,107,
24,97,1453,8534,363,177,57954,0,0,119,51,27,0,0,0,0,97,
25,224,8623,19256,5893,472,527397,0,0,310,150,89,0,0,0,0,224,
26,94,1242,7231,248,151,28792,0,0,87,41,25,0,0,0,0,94,
27,178,1997,12346,498,238,89908,0,0,148,72,46,0,0,0,0,178,
28,260,4628,17496,2101,346,262991,0,0,221,102,65,0,0,0,0,260,
29,150,1559,9943,242,158,42648,0,0,117,54,30,0,0,0,0,150,
30,229,4025,17577,1809,370,145252,0,0,221,115,66,0,0,0,0,229,
31,93,1076,6592,246,137,25605,0,0,71,27,22,0,0,0,0,93,
32,174,1760,11762,310,175,55278,0,0,129,72,42,0,0,0,0,174,
33,121,1928,8967,661,166,40998,0,0,115,56,31,0,0,0,0,121,
34,73,1144,6780,247,135,36442,0,0,85,43,24,0,0,0,0,73,
35,103,1468,8667,381,195,58821,0,0,117,55,36,0,0,0,0,103,
36,84,912,6576,158,107,20056,0,0,65,27,16,0,0,0,0,84,
37,145,1902,12549,331,229,84184,0,0,181,81,44,0,0,0,0,145,
38,189,2628,15734,610,306,215541,0,0,234,117,78,0,0,0,0,189,
39,123,1596,9974,334,206,52686,0,0,127,70,41,0,0,0,0,123,
40,123,1655,10818,338,208,86144,0,0,142,80,52,0,0,0,0,123,
41,111,1184,8562,186,155,37580,0,0,106,53,33,0,0,0,0,111,
42,125,990,7354,127,117,14117,0,0,68,36,25,0,0,0,0,125,
43,112,1254,8194,278,174,48950,0,0,103,59,32,0,0,0,0,112,
44,148,3064,13585,1199,353,219491,0,0,227,95,49,0,0,0,0,148,
45,78,903,6819,134,120,16566,0,0,73,37,21,0,0,0,0,78,
