run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,conceded
1,92,968,5150,63,11,896,0,0,21,10,9,0,0,0,0,92,
2,61,606,5116,21,7,778,0,0,23,12,11,0,0,0,0,61,
3,151,1372,10690,184,74,15812,0,0,74,36,17,0,0,0,0,151,
4,102,803,6432,29,25,2099,0,0,33,18,16,0,0,0,0,102,
5,129,853,8154,39,35,2930,0,0,43,25,21,0,0,0,0,129,
6,180,1688,11822,202,93,23785,0,0,100,50,20,0,0,0,0,180,
7,175,1655,12995,203,111,24071,0,0,105,50,20,0,0,0,0,175,
8,88,683,6591,27,20,1855,0,0,33,12,7,0,0,0,0,88,
9,83,559,5025,12,11,1179,0,0,24,11,9,0,0,0,0,83,
10,181,1413,12353,171,95,21022,0,0,77,35,23,0,0,0,0,181,
11,194,1549,12485,152,96,14345,0,0,93,38,25,0,0,0,0,194,
12,85,719,6289,35,29,2763,0,0,36,20,12,0,0,0,0,85,
13,86,546,5729,8,8,1006,0,0,23,14,13,0,0,0,0,86,
14,206,1685,13204,164,81,25278,0,0,96,39,27,0,0,0,0,206,
15,153,1269,10046,157,83,16975,0,0,67,43,27,0,0,0,0,153,
16,129,1156,9599,123,63,13284,0,0,60,30,16,0,0,0,0,129,
17,153,1238,10972,112,70,15897,0,0,75,47,31,0,0,0,0,153,
18,81,742,5999,42,38,2983,0,0,40,21,11,0,0,0,0,81,
19,327,2551,20468,344,179,54529,0,0,176,80,35,0,0,0,0,327,
20,102,879,7090,64,48,4805,0,0,49,23,16,0,0,0,0,102,
21,80,580,5486,16,20,1487,0,0,26,13,12,0,0,0,0,80,
22,100,585,5350,21,22,1555,0,0,25,10,4,0,0,0,0,100,
23,83,634,5877,20,21,1893,0,0,32,21,16,0,0,0,0,83,
24,91,699,6187,33,30,2807,0,0,37,15,5,0,0,0,0,91,
25,104,659,6469,17,21,1912,0,0,33,18,14,0,0,0,0,104,
26,82,564,4887,16,18,1197,0,0,22,10,8,0,0,0,0,82,
27,167,1222,10306,88,61,8288,0,0,77,42,25,0,0,0,0,167,
28,104,772,6849,38,40,2621,0,0,39,21,12,0,0,0,0,104,
29,120,1067,8567,86,55,9070,0,0,62,32,13,0,0,0,0,120,
30,103,739,6450,29,30,2250,0,0,32,15,10,0,0,0,0,103,
31,100,552,4889,7,10,837,0,0,19,10,9,0,0,0,0,100,
32,255,1831,15531,156,93,18130,0,0,108,48,28,0,0,0,0,255,
33,113,785,7007,31,22,2516,0,0,35,19,14,0,0,0,0,113,
34,94,748,7163,18,25,1992,0,0,39,23,20,0,0,0,0,94,
35,129,1038,8171,96,56,10885,0,0,57,29,20,0,0,0,0,129,
36,95,628,6259,13,11,1746,0,0,29,16,15,0,0,0,0,95,
37,156,1182,10488,98,76,9558,0,0,79,41,20,0,0,0,0,156,
38,102,724,6931,21,30,2197,0,0,36,22,20,0,0,0,0,102,
39,295,2340,18810,288,129,56783,0,0,136,64,39,0,0,0,0,295,
40,193,1529,13769,164,94,24605,0,0,98,50,32,0,0,0,0,193,
41,169,1147,10889,69,61,9781,0,0,75,43,26,0,0,0,0,169,
42,82,570,5467,19,14,1239,0,0,24,11,9,0,0,0,0,82,
43,120,746,7723,24,24,2562,0,0,40,17,13,0,0,0,0,120,
44,117,1069,8946,104,54,9995,0,0,55,24,15,0,0,0,0,117,
45,89,652,6529,26,20,2456,0,0,32,15,11,0,0,0,0,89,
46,93,637,6568,17,13,1884,0,0,36,16,14,0,0,0,0,93,
47,112,812,7505,55,43,3105,0,0,47,26,18,0,0,0,0,112,
48,117,1049,8387,104,65,9990,0,0,68,28,10,0,0,0,0,117,
49,201,1684,12629,201,107,21142,0,0,103,54,29,0,0,0,0,201,
50,101,867,7177,50,33,5001,0,0,44,21,16,0,0,0,0,101,
51,184,1366,11570,100,81,11729,0,0,87,38,21,0,0,0,0,184,
52,258,1449,14371,86,80,10389,0,0,85,35,21,0,0,0,0,258,
53,111,947,7882,56,49,4737,0,0,50,26,15,0,0,0,0,111,
54,122,1025,8527,76,54,6413,0,0,65,31,15,0,0,0,0,122,
55,106,762,6131,71,50,5787,0,0,39,17,11,0,0,0,0,106,
56,108,796,6951,48,44,3638,0,0,45,28,16,0,0,0,0,108,
57,135,977,8730,52,53,5297,0,0,55,34,21,0,0,0,0,135,
58,168,910,8832,42,34,4663,0,0,48,19,11,0,0,0,0,168,
59,234,2676,16163,671,103,46635,0,0,128,67,41,0,0,0,0,234,
60,173,1510,12071,188,81,21769,0,0,85,43,25,0,0,0,0,173,
61,130,904,7912,64,47,4230,0,0,50,24,13,0,0,0,0,130,
62,129,942,8347,70,50,7251,0,0,52,25,17,0,0,0,0,129,
63,80,557,5134,9,10,859,0,0,24,11,9,0,0,0,0,80,
64,160,1133,10354,75,61,8685,0,0,57,26,14,0,0,0,0,160,
65,94,773,6982,39,37,2421,0,0,39,20,16,0,0,0,0,94,
66,140,1176,9910,115,74,11368,0,0,67,37,25,0,0,0,0,140,
67,92,732,6095,48,41,3132,0,0,36,20,9,0,0,0,0,92,
68,156,1356,11478,100,61,11480,0,0,80,40,21,0,0,0,0,156,
69,276,1998,15999,199,105,35410,0,0,107,49,34,0,0,0,0,276,
70,151,1018,9279,49,47,5446,0,0,55,28,20,0,0,0,0,151,
71,139,734,7264,14,18,1543,0,0,30,12,9,0,0,0,0,139,
72,79,522,4834,12,13,1071,0,0,21,8,6,0,0,0,0,79,
73,124,925,8480,68,51,6295,0,0,55,32,25,0,0,0,0,124,
74,110,857,7330,71,58,5092,0,0,47,28,18,0,0,0,0,110,
75,127,971,9009,61,52,5639,0,0,56,30,13,0,0,0,0,127,
76,93,805,7218,55,40,6572,0,0,46,21,10,0,0,0,0,93,
77,173,1220,9990,82,69,6293,0,0,61,34,23,0,0,0,0,173,
78,86,665,6604,24,24,1536,0,0,33,19,15,0,0,0,0,86,
79,108,782,6896,26,31,2668,0,0,41,23,17,0,0,0,0,108,
80,222,1403,12355,102,74,12141,0,0,86,36,22,0,0,0,0,222,
81,131,986,9052,60,52,7377,0,0,64,23,15,0,0,0,0,131,
82,179,1735,12423,261,117,27953,0,0,100,51,29,0,0,0,0,179,
83,414,2925,24059,343,192,60567,0,0,161,80,44,0,0,0,0,414,
84,131,1077,8823,98,66,9096,0,0,58,34,20,0,0,0,0,131,
85,94,753,6459,45,29,3433,0,0,35,20,12,0,0,0,0,94,
86,192,1361,11454,124,74,18312,0,0,77,35,23,0,0,0,0,192,
87,134,1065,9167,74,47,5632,0,0,62,28,12,0,0,0,0,134,
88,95,623,5592,26,25,2354,0,0,29,12,6,0,0,0,0,95,
89,132,1054,8577,93,61,7589,0,0,63,33,14,0,0,0,0,132,
90,106,582,6132,8,13,902,0,0,24,14,12,0,0,0,0,106,
91,128,942,8649,41,42,4921,0,0,53,21,14,0,0,0,0,128,
92,104,879,7612,52,51,4210,0,0,49,25,11,0,0,0,0,104,
93,105,863,7318,52,51,4329,0,0,48,26,13,0,0,0,0,105,
94,148,1315,10510,168,78,20912,0,0,77,38,21,0,0,0,0,148,
95,111,886,7891,49,39,4386,0,0,47,27,24,0,0,0,0,111,
96,167,1320,11746,82,59,10782,0,0,84,35,20,0,0,0,0,167,
97,128,1021,8292,102,51,10558,0,0,49,25,14,0,0,0,0,128,
98,237,1627,13226,119,69,15441,0,0,92,40,28,0,0,0,0,237,
99,239,1951,15506,246,114,29639,0,0,118,60,37,0,0,0,0,239,
100,150,998,8858,55,44,5909,0,0,50,22,16,0,0,0,0,150,
101,131,1029,9682,60,57,4738,0,0,68,30,13,0,0,0,0,131,
102,179,1488,11226,229,99,25317,0,0,84,47,28,0,0,0,0,179,
103,141,949,8460,55,47,4864,0,0,47,28,21,0,0,0,0,141,
104,149,984,9385,68,49,6387,0,0,56,26,17,0,0,0,0,149,
105,160,874,8349,40,32,2989,0,0,38,19,16,0,0,0,0,160,
106,72,537,5559,7,9,1243,0,0,25,12,11,0,0,0,0,72,
107,336,2804,21799,411,211,62009,0,0,195,113,58,0,0,0,0,336,
108,294,1965,17866,187,125,22134,0,0,112,65,47,0,0,0,0,294,
109,61,505,4951,8,5,707,0,0,22,7,6,0,0,0,0,61,
110,95,516,5081,14,15,853,0,0,18,11,10,0,0,0,0,95,
111,300,2434,18984,367,130,55600,0,0,137,70,41,0,0,0,0,300,
112,154,710,7144,14,21,1256,0,0,28,15,12,0,0,0,0,154,
113,118,969,8234,53,45,4838,0,0,54,21,13,0,0,0,0,118,
114,120,943,8323,58,49,5536,0,0,58,25,16,0,0,0,0,120,
115,192,1663,13130,177,93,24209,0,0,98,52,32,0,0,0,0,192,
116,122,627,6418,11,10,852,0,0,22,11,9,0,0,0,0,122,
117,113,780,7492,25,29,1943,0,0,41,17,11,0,0,0,0,113,
118,99,661,6182,17,22,1772,0,0,30,10,7,0,0,0,0,99,
