run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,left_to_concrete,conceded
1,95,942,4456,82,7,179,7,179,0,0,0,0,0,0,11.944989999999999,115.856,0,
2,217,1579,11504,185,20,1560,20,1560,7,4,1,3,0,0,38.123599999999996,299.104,0,
3,88,735,5965,53,11,365,11,365,3,1,0,1,0,0,19.08965,155.09,0,
4,129,881,7396,50,10,628,10,628,3,2,0,2,0,0,18.48268,192.296,0,
5,179,1117,9580,69,20,1192,20,1192,5,2,0,2,0,0,36.72152,249.07999999999998,0,
6,144,968,8207,64,14,1310,14,1310,11,2,1,1,0,0,27.517099999999996,213.38199999999998,0,
7,175,1294,10223,147,31,1961,31,1992,10,6,0,6,0,0,57.43193999999999,265.798,0,
8,74,562,4206,24,4,122,4,122,1,0,0,0,0,0,6.9008199999999995,109.356,0,
9,115,1228,5879,225,23,1126,20,945,5,3,1,2,0,0,37.43102999999999,152.85399999999998,0,
10,108,788,6276,57,14,656,12,611,3,1,1,0,0,0,22.647009999999995,163.176,0,
11,108,786,5593,94,11,626,11,626,4,1,0,1,0,0,20.08406,145.418,0,
12,70,543,4229,23,6,224,6,224,1,0,0,0,0,0,10.507439999999999,109.954,0,
13,86,524,5403,11,2,67,2,67,0,0,0,0,0,0,3.47327,140.47799999999998,0,
14,71,528,4484,24,6,242,6,242,2,1,0,1,0,0,10.57602,116.58399999999999,0,
15,130,877,7613,45,14,916,14,916,4,2,0,2,0,0,26.015959999999996,197.938,0,
16,192,1197,10320,84,23,1746,23,1746,7,1,0,1,0,0,43.659259999999996,268.32,0,
17,155,1195,9017,156,33,2120,33,2120,12,5,1,4,0,0,61.1742,234.44199999999998,0,
18,95,810,5909,91,15,536,15,536,4,2,0,2,0,0,26.17716,153.634,0,
19,133,798,6899,86,13,555,13,604,3,2,0,2,0,0,23.16042,179.374,0,
20,215,1532,12300,187,40,2667,37,2609,18,9,3,6,0,0,70.97873,319.8,0,
21,145,931,7934,59,24,1152,24,1152,8,6,0,6,0,0,43.00512,206.284,0,
22,134,703,6862,19,7,254,7,254,0,0,0,0,0,0,12.230739999999999,178.41199999999998,0,
23,70,512,4503,11,1,47,1,47,0,0,0,0,0,0,1.7880699999999998,117.07799999999999,0,
24,65,488,4388,17,2,92,2,92,2,0,0,0,0,0,3.56852,114.088,0,
25,309,1758,15459,164,33,2096,35,2174,13,9,1,8,0,0,63.5479,401.93399999999997,0,
