run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,left_to_concrete,conceded
1,156,1543,7847,197,33,1559,33,1559,2,0,0,0,0,0,59.036789999999996,204.022,0,
2,61,609,4784,37,5,91,5,91,1,1,0,1,0,0,8.39171,124.384,0,
3,187,1341,12732,94,24,1290,22,1211,6,3,1,2,0,0,41.06313,331.032,0,
4,128,906,7200,56,11,717,11,717,2,1,0,1,0,0,20.43077,187.2,0,
5,197,1293,11825,84,37,1779,37,1779,3,1,0,1,0,0,66.31098999999999,307.45,0,
6,115,819,7473,43,15,693,15,693,4,1,0,1,0,0,26.775329999999997,194.298,0,
7,169,1144,11177,77,38,1664,38,1664,2,0,0,0,0,0,67.48184,290.602,0,
8,76,563,4646,26,8,291,8,291,3,1,0,1,0,0,13.98071,120.79599999999999,0,
9,96,629,5246,30,11,366,11,366,3,1,0,1,0,0,19.093459999999997,136.396,0,
10,135,912,8311,67,22,1130,20,1085,4,2,1,1,0,0,37.32495,216.08599999999998,0,
11,178,1069,10675,43,20,990,20,990,2,1,0,1,0,0,35.951899999999995,277.55,0,
12,78,608,5412,27,7,272,7,272,2,2,1,1,0,0,12.29932,140.712,0,
13,86,512,5396,11,2,67,2,67,0,0,0,0,0,0,3.47327,140.296,0,
14,120,797,7500,43,19,741,19,741,3,2,0,2,0,0,33.39421,195,0,
15,81,664,5164,58,10,432,10,432,3,2,1,1,0,0,17.73592,134.26399999999998,0,
16,178,1135,11520,66,31,1401,31,1401,4,2,0,2,0,0,55.216809999999995,299.52,0,
17,132,879,8077,52,23,1174,23,1174,2,1,0,1,0,0,41.47994,210.00199999999998,0,
18,74,584,4915,33,12,459,12,459,3,1,0,1,0,0,21.05679,127.78999999999999,0,
19,202,1147,10667,82,35,2010,33,1958,2,1,1,0,0,0,61.57634,277.342,0,
20,92,641,5771,38,14,553,14,553,3,1,0,1,0,0,24.632929999999998,150.046,0,
21,80,575,5127,25,7,388,6,324,5,2,1,1,0,0,11.44296,133.302,0,
