run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,left_to_concrete,conceded
1,98,1746,6513,473,133,16816,83,8277,61,33,23,10,0,0,199.10838999999999,169.338,0,
2,61,1197,6071,306,109,16897,72,8800,69,30,20,10,0,0,176.65346,157.846,0,
3,142,2415,10790,748,211,44099,156,36059,139,72,49,23,0,0,424.22099,280.53999999999996,0,
4,89,1943,7743,726,183,68764,119,31668,108,51,30,21,0,0,386.55535999999995,201.31799999999998,0,
5,235,3922,16837,1355,281,167213,216,131832,194,106,63,43,0,0,922.7085000000001,437.762,0,
6,212,6345,15525,3531,337,303065,270,324451,218,106,56,50,0,0,1677.44583,403.65,0,
7,145,2946,11135,974,232,90919,166,66355,156,75,44,31,0,0,580.5060699999999,289.51,0,
8,114,2001,9888,569,182,53843,139,40779,126,53,28,25,0,0,415.03150999999997,257.08799999999997,0,
9,93,1376,7107,393,147,28704,95,19551,84,43,29,14,0,0,263.05285,184.78199999999998,0,
10,182,2628,13078,796,253,102733,181,75217,158,68,41,27,0,0,644.76265,340.02799999999996,0,
11,115,1787,9147,476,194,35803,123,19514,118,58,37,21,0,0,325.48536,237.822,0,
12,133,2552,11403,840,258,89818,188,75016,166,92,57,35,0,0,639.29932,296.478,0,
13,104,1666,8861,503,187,39194,112,15016,111,55,33,22,0,0,301.87399999999997,230.386,0,
14,187,3640,13404,1629,264,145689,195,128295,178,99,57,42,0,0,856.13487,348.50399999999996,0,
15,108,1918,9334,539,182,67882,127,34956,120,62,46,16,0,0,402.72304,242.684,0,
16,171,4529,15107,2241,327,286761,236,221437,229,129,76,53,0,0,1344.07029,392.782,0,
17,210,5227,18136,2543,372,403340,303,336054,269,133,74,59,0,0,1880.34122,471.536,0,
18,72,1404,6878,367,134,32477,93,23073,88,47,30,17,0,0,268.28085,178.828,0,
19,196,3318,15419,1282,319,186753,214,120857,212,93,56,37,0,0,932.8434499999998,400.894,0,
20,99,1838,9101,543,173,56317,132,43299,129,64,34,30,0,0,412.35742999999997,236.62599999999998,0,
21,264,8843,21757,5581,442,524657,342,436001,325,166,100,66,0,0,2363.95589,565.682,0,
22,102,1217,6878,268,111,15474,86,11866,71,33,21,12,0,0,199.8159,178.828,0,
23,107,1938,9594,573,201,47122,134,31758,131,60,37,23,0,0,386.8265,249.444,0,
24,116,1272,7552,252,119,16403,93,13059,76,38,17,21,0,0,215.79170999999997,196.352,0,
25,224,5513,19256,2664,470,591660,304,242950,310,150,89,61,0,0,1905.7673,500.65599999999995,0,
26,94,1456,7231,414,151,31305,105,17590,87,41,25,16,0,0,274.1806,188.006,0,
27,178,2493,12346,784,238,104383,156,54697,148,72,46,26,0,0,557.30705,320.996,0,
