run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,left_to_concrete,conceded
1,221,1963,11748,315,69,4854,61,4948,22,11,7,4,0,0,120.72196,305.448,0,
2,61,498,4753,19,5,63,5,63,1,1,0,1,0,0,8.285029999999999,123.57799999999999,0,
3,209,1632,12698,231,79,9049,64,5687,30,10,5,5,0,0,135.79563,330.14799999999997,0,
4,132,884,7637,76,37,1346,29,1086,11,8,5,3,0,0,54.937459999999994,198.56199999999998,0,
5,185,1270,10375,134,65,3574,59,3427,26,11,6,5,0,0,111.03532999999997,269.75,0,
6,114,719,7046,46,27,1011,24,928,9,3,2,1,0,0,43.68662,183.196,0,
7,228,1340,15125,107,61,4306,55,3940,14,8,4,4,0,0,106.81227999999999,393.25,0,
8,76,524,4653,28,14,313,13,299,3,2,1,1,0,0,22.55171,120.978,0,
9,108,657,6396,48,27,799,23,693,6,5,2,3,0,0,41.68841,166.296,0,
10,136,911,8635,104,56,2848,48,2272,19,12,6,6,0,0,90.39999999999999,224.51,0,
11,158,884,9742,55,28,1397,26,1262,6,3,2,1,0,0,47.759519999999995,253.292,0,
12,70,469,4231,32,12,336,12,336,3,0,0,0,0,0,20.588159999999995,110.006,0,
13,86,446,5372,14,6,104,6,104,0,0,0,0,0,0,10.050239999999999,139.672,0,
14,109,600,6936,29,13,382,13,382,3,2,1,1,0,0,22.372419999999998,180.33599999999998,0,
15,108,745,7020,52,31,866,28,814,8,7,3,4,0,0,49.6517,182.51999999999998,0,
16,168,1105,9827,142,61,4595,55,4809,25,10,6,4,0,0,109.43876999999999,255.50199999999998,0,
17,123,794,7270,75,40,1887,36,1783,14,6,4,2,0,0,66.75594999999998,189.01999999999998,0,
18,80,570,5657,35,20,559,18,526,4,4,2,2,0,0,31.962999999999997,147.082,0,
19,232,1884,12561,327,83,9029,69,5385,30,11,7,4,0,0,142.54377,326.586,0,
20,92,680,5810,52,18,528,16,465,3,2,1,1,0,0,28.54799,151.06,0,
21,141,850,8755,55,30,1106,28,1039,5,1,1,0,0,0,50.04765,227.63,0,
22,100,527,4973,23,11,283,11,283,2,1,0,1,0,0,18.77723,129.298,0,
23,169,1133,9806,134,60,4718,46,2440,20,10,6,4,0,0,92.70443999999999,254.956,0,
24,140,851,7711,60,38,1511,31,1301,12,7,5,2,0,0,58.436609999999995,200.486,0,
25,134,763,7833,54,32,1022,29,933,8,3,2,1,0,0,51.757749999999994,203.658,0,
26,77,503,3954,33,15,404,15,388,3,1,0,1,0,0,25.63216,102.804,0,
27,125,633,6924,34,20,638,16,424,4,2,1,1,0,0,29.52796,180.024,0,
28,208,1238,12460,106,54,2421,50,2339,15,8,4,4,0,0,91.37434999999999,323.96,0,
29,83,617,4857,44,17,639,17,639,5,1,0,1,0,0,29.787589999999998,126.282,0,
30,89,603,6003,30,19,469,18,454,4,3,2,1,0,0,31.188439999999993,156.078,0,
31,104,535,5594,20,9,193,9,193,2,1,0,1,0,0,15.21633,145.444,0,
32,152,1092,7878,106,27,976,23,831,6,4,2,2,0,0,42.26021,204.828,0,
33,130,770,7384,39,21,715,18,519,3,2,1,1,0,0,32.60767,191.98399999999998,0,
34,100,687,6410,50,30,1003,26,660,7,3,2,1,0,0,46.66933999999999,166.66,0,
35,98,652,5250,60,33,1231,29,1088,10,5,3,2,0,0,52.89102,136.5,0,
36,90,498,5508,17,8,166,8,166,0,0,0,0,0,0,13.504459999999998,143.208,0,
37,83,494,5217,18,9,221,9,221,2,1,0,1,0,0,15.323009999999998,135.642,0,
38,97,648,5856,48,26,1100,20,914,7,5,3,2,0,0,38.75582,152.256,0,
39,155,952,8300,100,53,2945,46,2287,18,7,4,3,0,0,86.85691,215.79999999999998,0,
40,126,920,8325,87,45,2433,38,2013,15,8,4,4,0,0,72.66013,216.45,0,
41,102,569,5606,32,15,409,15,409,3,1,0,1,0,0,25.693289999999998,145.756,0,
42,81,466,5209,15,7,115,7,115,1,1,0,1,0,0,11.701149999999998,135.434,0,
43,121,614,6858,32,21,693,18,616,5,2,2,0,0,0,32.836819999999996,178.308,0,
44,103,720,7019,44,23,930,20,902,5,3,1,2,0,0,37.086659999999995,182.494,0,
45,75,488,4353,20,10,210,10,210,1,1,0,1,0,0,16.890099999999997,113.178,0,
46,93,497,6031,13,8,128,8,128,1,0,0,0,0,0,13.359679999999997,156.80599999999998,0,
47,127,727,7517,45,30,942,25,737,6,4,4,0,0,0,45.669869999999996,195.44199999999998,0,
48,102,675,7150,43,24,944,22,759,6,3,1,2,0,0,39.46609,185.89999999999998,0,
49,105,573,6106,24,11,269,11,269,2,2,1,1,0,0,18.72389,158.756,0,
50,315,2178,18702,382,117,16608,95,13877,41,23,11,12,0,0,219.48694999999998,486.25199999999995,0,
51,122,760,6512,56,29,1247,26,1099,9,4,2,2,0,0,47.63282999999999,169.31199999999998,0,
52,98,555,5759,27,13,301,13,301,1,0,0,0,0,0,22.06381,149.73399999999998,0,
53,248,1630,14703,194,99,7175,85,6003,42,17,12,5,0,0,167.72539,382.27799999999996,0,
54,140,942,8703,69,39,1935,36,1713,10,5,2,3,0,0,66.14949,226.278,0,
55,108,731,5982,54,28,1119,25,839,9,2,1,1,0,0,45.18899,155.53199999999998,0,
56,187,1063,9461,99,62,2943,52,2542,23,11,7,4,0,0,98.61619999999999,245.986,0,
57,156,859,9220,47,28,918,26,884,4,3,2,1,0,0,46.20015999999999,239.72,0,
58,283,1382,14765,163,72,6715,63,5209,27,8,3,5,0,0,127.30136999999999,383.89,0,
59,147,1042,9233,116,54,4368,47,2951,15,10,6,4,0,0,91.89136999999998,240.058,0,
60,128,820,6947,82,44,1849,39,1711,15,8,5,3,0,0,71.82775000000001,180.62199999999999,0,
61,91,490,4536,20,8,198,8,198,2,0,0,0,0,0,13.62638,117.93599999999999,0,
62,187,1082,10787,93,54,3695,49,3057,22,6,3,3,0,0,93.63601,280.462,0,
63,76,474,4252,19,8,212,8,212,2,0,0,0,0,0,13.67972,110.55199999999999,0,
64,172,1121,11159,115,51,3401,48,3538,21,7,2,5,0,0,91.98711999999999,290.134,0,
65,77,583,5259,43,20,537,19,497,4,3,1,2,0,0,32.99077,136.73399999999998,0,
66,104,730,6273,48,24,1108,22,1029,6,2,1,1,0,0,40.36971,163.09799999999998,0,
67,135,884,7632,60,30,1217,29,1195,9,3,1,2,0,0,51.71891,198.432,0,
68,268,1698,15854,172,77,6463,67,7348,31,11,8,3,0,0,139.54458,412.204,0,
69,103,734,6320,62,33,1229,29,1118,9,5,3,2,0,0,52.96756,164.32,0,
70,217,1253,12802,129,72,5764,59,4736,27,15,8,7,0,0,120.41519999999998,332.852,0,
71,147,716,7912,30,17,350,16,337,3,2,1,1,0,0,27.522309999999997,205.712,0,
72,95,570,5695,43,23,746,19,492,5,2,2,0,0,0,34.66124,148.07,0,
73,121,748,7422,53,29,1290,25,880,8,3,2,1,0,0,45.977599999999995,192.97199999999998,0,
74,83,538,4302,46,25,555,23,529,6,4,2,2,0,0,40.01117,111.85199999999999,0,
75,414,2537,20322,334,128,22432,103,13499,55,19,5,14,0,0,239.67413,528.372,0,
76,82,622,5313,53,24,874,22,832,6,4,2,2,0,0,39.57548,138.138,0,
77,170,1067,9428,104,58,3278,46,2432,20,10,7,3,0,0,90.02619999999999,245.128,0,
78,86,535,5826,20,14,249,13,236,1,1,1,0,0,0,22.310499999999998,151.476,0,
79,93,564,5392,30,18,516,16,429,4,3,1,2,0,0,28.439149999999998,140.192,0,
80,155,794,8247,41,23,865,22,847,7,2,1,1,0,0,39.12531,214.422,0,
81,144,893,8629,78,44,2426,39,2283,16,7,4,3,0,0,74.01297,224.35399999999998,0,
82,174,1307,9922,209,81,9397,76,9123,28,16,7,9,0,0,159.76095,257.972,0,
83,253,1754,14294,222,107,10973,84,8397,47,23,13,10,0,0,181.20524999999998,371.644,0,
84,268,1647,16256,189,94,9632,79,8681,39,13,8,5,0,0,168.49278999999999,422.656,0,
85,108,717,5824,63,30,1490,22,1094,8,5,3,2,0,0,43.86542,151.424,0,
86,77,503,4633,24,14,397,14,397,3,0,0,0,0,0,24.038569999999996,120.458,0,
87,138,784,8421,48,27,861,25,793,6,2,1,1,0,0,44.28457,218.946,0,
88,103,605,5762,37,22,952,16,522,4,2,2,0,0,0,31.11422,149.81199999999998,0,
89,126,759,7251,68,32,1675,29,1363,8,4,1,3,0,0,53.65919,188.52599999999998,0,
90,104,507,5538,15,6,115,6,115,1,1,0,1,0,0,10.09215,143.988,0,
91,89,567,5360,42,25,1069,19,793,6,3,2,1,0,0,36.79200999999999,139.35999999999999,0,
92,123,842,7962,79,42,2668,33,1930,9,6,4,2,0,0,65.63214,207.012,0,
93,112,771,6648,78,44,2122,37,1756,15,8,4,4,0,0,70.00824,172.84799999999998,0,
94,113,700,6662,51,30,942,26,832,7,4,2,2,0,0,47.04971999999999,173.212,0,
95,100,652,6254,50,30,1079,26,825,11,4,3,1,0,0,47.192969999999995,162.60399999999998,0,
96,154,985,10122,109,56,3689,49,3695,17,10,6,4,0,0,96.26487,263.17199999999997,0,
97,143,847,7790,54,28,1288,23,934,6,3,2,1,0,0,43.37826,202.54,0,
98,233,1742,12119,184,52,3542,42,2605,15,9,7,2,0,0,83.39871,315.094,0,
99,109,619,5072,35,14,366,12,316,3,1,1,0,0,0,21.528959999999998,131.87199999999999,0,
100,166,956,9221,80,37,1984,33,1841,13,4,2,2,0,0,62.195949999999996,239.74599999999998,0,
101,131,743,8627,46,27,963,23,765,3,3,2,1,0,0,42.07129,224.302,0,
102,112,680,5923,54,29,1163,27,1072,8,3,2,1,0,0,48.5927,153.998,0,
