run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,left_to_concrete,conceded
1,92,1126,5150,123,11,896,10,694,21,10,9,1,0,0,19.451500000000003,133.9,0,
2,61,819,5116,75,7,784,5,760,23,12,11,1,0,0,11.926919999999999,133.016,0,
3,151,1987,10690,411,74,16577,60,12108,74,36,17,19,0,0,154.6509,277.94,0,
4,102,1109,6432,141,25,2111,20,1959,33,18,16,2,0,0,42.218149999999994,167.232,0,
5,129,1189,8154,155,35,2936,28,2777,43,25,21,4,0,0,59.17299,212.004,0,
6,317,4475,14097,2437,4138,652096,32,3377,34,22,9,13,0,0,2796.61679,366.522,76,limit
7,175,2031,12995,459,111,24776,88,21713,105,50,20,30,0,0,238.94986999999998,337.87,0,
8,88,802,6591,79,20,1901,20,1901,33,12,7,5,0,0,39.42281,171.36599999999999,0,
9,83,645,5025,51,11,1164,10,1274,24,11,9,2,0,0,21.293139999999998,130.65,0,
10,181,1801,12353,316,95,22141,63,10108,77,35,23,12,0,0,169.40541999999996,321.178,0,
11,194,1809,12485,312,96,14962,68,11420,93,38,25,13,0,0,170.51376,324.60999999999996,0,
12,85,845,6289,100,29,2825,23,2246,36,20,12,8,0,0,49.12148,163.51399999999998,0,
13,86,623,5729,32,8,1010,7,995,23,14,13,1,0,0,15.550649999999997,148.95399999999998,0,
14,206,2055,13204,349,81,25784,65,15958,96,39,27,12,0,0,184.64365999999998,343.304,0,
15,189,1963,12859,382,97,35482,65,15299,86,45,31,14,0,0,202.01812999999999,334.334,0,
16,129,1401,9599,243,63,13755,48,8510,60,30,16,14,0,0,123.02919999999999,249.57399999999998,0,
17,293,3275,19135,758,156,68879,117,40159,152,84,49,35,0,0,393.82939,497.51,0,
18,81,930,5999,115,38,3093,32,2899,40,21,11,10,0,0,65.63611,155.974,0,
19,327,3147,20468,699,179,56295,144,38014,176,80,35,45,0,0,414.86591999999996,532.168,0,
20,102,1065,7090,154,48,5038,32,3649,49,23,16,7,0,0,74.69370999999998,184.34,0,
21,80,663,5486,51,20,1601,14,1081,26,13,12,1,0,0,30.132209999999997,142.636,0,
22,100,665,5350,56,22,1580,16,1461,25,10,4,6,0,0,34.32483,139.1,0,
23,83,790,5877,72,21,2016,19,1894,32,21,16,5,0,0,38.8891,152.802,0,
24,128,1002,7465,94,35,3745,25,2413,39,18,12,6,0,0,55.78029,194.09,0,
25,104,790,6469,64,21,1917,21,2035,33,18,14,4,0,0,41.40310999999999,168.194,0,
26,82,685,4887,57,18,1232,18,1153,22,10,8,2,0,0,33.44815,127.062,0,
27,167,1533,10306,219,61,8511,45,7633,77,42,25,17,0,0,110.18677,267.95599999999996,0,
28,156,1573,10750,222,65,8111,55,7020,83,35,19,16,0,0,121.31857999999998,279.5,0,
29,120,1346,8567,214,55,9307,43,7268,62,32,13,19,0,0,105.0321,222.742,0,
30,103,887,6450,85,30,2284,25,1980,32,15,10,5,0,0,50.52251999999999,167.7,0,
31,100,665,5277,45,15,1081,10,875,21,13,11,2,0,0,22.061829999999997,137.202,0,
32,255,2200,15531,337,93,18665,73,17894,108,48,28,20,0,0,196.12291999999997,403.806,0,
33,113,937,7007,84,22,2625,21,2213,35,19,14,5,0,0,43.185689999999994,182.182,0,
34,94,912,7163,70,25,2033,20,1957,39,23,20,3,0,0,42.12085,186.238,0,
35,129,1282,8171,197,56,11567,42,7239,57,29,20,9,0,0,106.97162999999998,212.446,0,
36,95,750,6259,54,11,1746,10,1645,29,16,15,1,0,0,22.95563,162.73399999999998,0,
37,120,1099,7921,129,41,3776,37,4021,54,27,16,11,0,0,76.47991,205.946,0,
38,102,891,6931,66,30,2225,21,1796,36,22,20,2,0,0,45.44898,180.206,0,
39,295,2903,18810,611,129,58257,104,43542,136,64,39,25,0,0,362.56972,489.06,0,
40,119,1230,7342,177,48,8048,37,5459,50,24,16,8,0,0,88.65580999999999,190.892,0,
41,169,1388,10889,176,61,9880,54,9919,75,43,26,17,0,0,127.98436999999998,283.114,0,
42,81,659,5585,48,10,973,9,736,25,11,9,2,0,0,18.04382,145.20999999999998,0,
43,120,848,7723,77,24,2647,18,2015,40,17,13,4,0,0,40.25890999999999,200.798,0,
44,117,1321,8946,196,54,10534,39,6191,55,24,15,9,0,0,98.64845,232.59599999999998,0,
45,78,678,5097,46,14,1032,10,793,21,9,7,2,0,0,21.30935,132.522,0,
46,93,720,6568,51,13,1889,9,1739,36,16,14,2,0,0,23.199589999999997,170.768,0,
47,112,959,7505,119,43,3297,32,3180,47,26,18,8,0,0,69.01086,195.13,0,
48,117,1320,8387,233,65,10193,51,8228,68,28,10,18,0,0,122.43238,218.06199999999998,0,
49,176,1715,10810,312,82,17951,57,8775,85,44,24,20,0,0,147.94843,281.06,0,
50,101,1014,7177,131,33,5150,25,4311,44,21,16,5,0,0,61.47193,186.602,0,
51,184,1733,11570,269,81,11987,68,11151,87,38,21,17,0,0,159.11079,300.82,0,
52,258,1850,14371,249,80,10417,70,11199,85,36,21,15,0,0,159.16543000000001,373.64599999999996,0,
53,111,1154,7882,161,49,4928,35,4601,50,26,15,11,0,0,80.93666999999999,204.932,0,
54,122,1273,8527,187,54,6597,42,4574,65,31,15,16,0,0,93.14007999999998,221.702,0,
55,106,935,6131,142,50,6052,39,3067,39,17,11,6,0,0,83.22757,159.406,0,
56,108,968,6951,124,44,3638,41,3011,45,28,16,12,0,0,79.61777,180.726,0,
57,135,1213,8730,154,53,5602,46,4851,55,34,21,13,0,0,96.73549,226.98,0,
58,168,1111,8832,124,34,4785,29,4654,48,19,11,8,0,0,66.94232,229.63199999999998,0,
59,234,3061,16163,949,103,50202,89,52441,128,67,41,26,0,0,347.06519,420.238,0,
60,173,1803,12071,333,81,23808,57,12562,85,43,25,18,0,0,164.3405,313.846,0,
61,130,1098,7912,152,47,4324,30,3773,50,24,13,11,0,0,71.43831,205.712,0,
62,129,1169,8347,160,50,7561,40,5750,52,25,17,8,0,0,93.19448,217.022,0,
63,80,670,5134,43,10,859,10,859,24,11,9,2,0,0,19.36279,133.48399999999998,0,
64,160,1434,10354,182,61,9042,54,7140,57,26,14,12,0,0,119.68675999999999,269.204,0,
65,94,953,6982,102,37,2609,26,1927,39,20,16,4,0,0,55.249629999999996,181.53199999999998,0,
66,140,1492,9910,234,74,12019,55,7654,67,37,25,12,0,0,131.90843999999998,257.65999999999997,0,
67,154,1444,10318,160,58,5477,48,5034,65,35,24,11,0,0,101.72428,268.268,0,
68,156,1656,11478,253,62,12201,51,11473,80,42,21,21,0,0,131.89917,298.428,0,
69,335,3598,20943,773,187,84877,126,47113,166,86,46,40,0,0,456.01505,544.518,0,
70,151,1231,9279,134,47,5534,39,6449,55,28,20,8,0,0,90.07399,241.254,0,
71,214,1851,12600,313,88,18322,67,11690,92,42,22,20,0,0,170.22666,327.59999999999997,0,
72,79,635,4834,51,13,1078,11,1048,21,8,6,2,0,0,22.68528,125.684,0,
73,124,1165,8480,161,51,6765,35,4659,55,32,25,7,0,0,84.21486999999999,220.48,0,
74,118,1199,7964,206,59,13279,41,8626,55,34,23,11,0,0,112.9466,207.064,0,
75,339,2853,18384,545,137,41651,110,37221,120,53,29,24,0,0,336.96241,477.984,0,
76,93,1005,7218,153,40,6647,32,5046,46,21,10,11,0,0,76.43444,187.66799999999998,0,
77,90,792,5736,76,25,1813,22,1743,29,12,8,4,0,0,43.55843,149.136,0,
78,86,750,6288,58,19,1305,17,1230,29,15,12,3,0,0,33.0858,163.488,0,
79,317,3617,21238,862,188,119998,126,44571,175,86,54,32,0,0,491.25136999999995,552.188,0,
80,222,1836,12355,280,74,12490,57,10222,86,36,22,14,0,0,141.47806,321.22999999999996,0,
81,131,1181,9052,149,52,7494,38,5282,64,23,15,8,0,0,90.58258000000001,235.35199999999998,0,
82,179,2051,12423,433,117,29705,86,16777,100,51,29,22,0,0,232.39841,322.998,0,
83,335,3046,19708,559,152,44439,118,39057,133,63,38,25,0,0,361.30593,512.408,0,
84,145,1371,9776,215,66,11997,47,7059,62,31,20,11,0,0,117.44563,254.176,0,
85,94,897,6459,93,29,3617,25,2265,35,20,12,8,0,0,52.366009999999996,167.934,0,
86,192,1594,11454,241,74,19189,57,9230,77,35,23,12,0,0,146.77392,297.804,0,
87,220,2032,14073,368,111,20365,70,9379,103,48,32,16,0,0,180.96646999999996,365.89799999999997,0,
88,95,732,5592,78,25,2383,19,2025,29,12,6,6,0,0,41.58269,145.392,0,
89,137,1377,9256,221,60,6681,54,7466,66,38,15,23,0,0,117.27915999999999,240.65599999999998,0,
90,106,660,6132,35,13,978,7,831,24,14,12,2,0,0,17.47657,159.432,0,
91,128,1134,8649,127,42,4957,39,4255,53,21,14,7,0,0,81.22791,224.874,0,
92,104,1054,7612,141,51,4269,41,4088,49,25,11,14,0,0,86.54786,197.91199999999998,0,
93,105,1103,7318,145,51,4407,42,3877,48,25,12,13,0,1,87.28577,190.268,0,
94,148,1651,10510,337,78,21994,58,13513,77,38,21,17,0,0,164.39410999999998,273.26,0,
95,111,1038,7891,127,39,4580,29,3985,47,27,24,3,0,0,67.33595,205.166,0,
96,167,1653,11746,231,59,10964,54,11678,84,35,20,15,0,0,132.93166,305.39599999999996,0,
97,128,1233,8292,176,51,11477,34,5098,49,25,14,11,0,0,89.7996,215.59199999999998,0,
98,237,1992,13226,303,69,15855,54,13784,92,40,28,12,0,0,149.03181999999998,343.876,0,
99,239,2369,15506,444,114,31541,77,20468,118,60,37,23,0,0,232.66521999999998,403.156,0,
100,135,1033,7857,112,29,3283,25,3551,38,19,14,5,0,0,55.35406999999999,204.28199999999998,0,
101,131,1228,9682,162,57,4903,50,4678,68,30,13,17,0,0,101.89168,251.732,0,
102,179,1791,11226,401,99,25959,65,17097,84,47,28,19,0,0,196.46773,291.876,0,
103,141,1154,8460,125,47,4971,34,3960,47,28,21,7,0,0,77.21358,219.95999999999998,0,
104,149,1259,9385,174,49,6597,41,6573,56,26,17,9,0,0,94.87245,244.01,0,
105,160,1043,8349,94,33,3430,21,1930,38,19,16,3,0,0,48.66029999999999,217.07399999999998,0,
106,72,627,5559,38,9,1243,9,1243,25,12,11,1,0,0,19.216829999999998,144.534,0,
107,336,3712,21799,855,211,64485,165,54215,195,113,58,55,0,0,506.19675000000007,566.774,0,
108,294,2488,17866,405,125,23260,97,17357,112,65,47,18,0,0,242.58070999999998,464.51599999999996,0,
109,61,565,4951,34,5,707,4,669,22,7,6,1,0,0,9.50873,128.726,0,
110,95,609,5081,49,15,867,10,715,18,11,10,1,0,0,21.38851,132.106,0,
111,300,2880,18984,594,130,60556,86,31613,137,71,41,30,0,0,314.04827,493.584,0,
112,154,850,7144,59,21,1279,16,1218,28,15,12,3,0,0,32.85156,185.744,0,
113,118,1145,8234,138,45,4867,35,4267,54,21,13,8,0,0,78.07027000000001,214.084,0,
114,120,1122,8323,160,49,5560,41,4526,58,25,16,9,0,0,88.26518,216.398,0,
115,192,2155,13130,407,94,24769,78,21930,98,53,32,21,0,0,220.06932,341.38,0,
116,168,1241,8975,153,51,4710,43,3580,52,27,14,13,0,0,87.9922,233.35,0,
117,121,1110,7714,131,45,4626,39,3218,50,19,9,10,0,0,79.54701999999999,200.564,0,
118,99,753,6182,59,22,1772,20,1449,30,10,7,3,0,0,39.03983,160.732,0,
119,164,1287,10141,165,53,6458,45,5798,58,28,15,13,0,0,99.10618,263.666,0,
120,100,721,5959,39,11,963,10,931,27,14,12,2,0,0,20.153869999999998,154.934,0,
121,70,543,4538,26,5,624,5,624,22,7,5,2,0,0,10.422439999999998,117.988,0,
122,138,1411,9320,229,64,11130,54,10187,65,32,20,12,0,0,131.60120999999998,242.32,0,
123,278,1620,12355,189,64,8376,53,7134,60,30,22,8,0,0,119.19209999999998,321.22999999999996,0,
124,173,1084,8597,122,40,3992,33,3434,40,23,14,9,0,0,70.19198,223.522,0,
125,133,1416,9758,224,70,9506,57,5986,69,36,15,21,0,0,124.90026,253.708,0,
126,164,1528,11351,190,56,7429,47,7642,68,31,15,16,0,0,108.79868,295.126,0,
127,138,1574,9852,276,67,17983,58,12546,69,34,20,14,0,0,151.84892,256.152,0,
128,107,981,6631,115,30,3348,29,3405,40,18,10,8,0,0,60.04579,172.406,0,
129,3000,198865,177229,24385,1878,5.723044e+06,1562,5.723044e+06,1778,884,367,517,0,0,24469.41964,4607.954,33,cap
130,106,1587,7369,293,48,3337,41,2673,45,24,10,14,0,0,80.28965,191.594,0,
131,270,3096,18067,623,111,29728,95,31188,143,64,30,34,0,0,277.62248,469.74199999999996,0,
132,241,2717,16800,560,151,35344,114,27104,140,71,41,30,0,0,314.13844,436.79999999999995,0,
133,264,3493,18639,727,163,26878,126,16953,170,77,27,50,0,0,296.75943,484.614,0,
134,310,5060,22344,1717,195,132877,148,107457,204,113,64,49,0,0,700.05177,580.944,0,
135,3000,95527,133268,10228,1171,3.288487e+06,946,3.288487e+06,1002,530,260,270,0,0,14159.02447,3464.968,360,cap
136,188,2053,11145,301,74,6827,51,4895,64,27,17,10,0,0,114.00571,289.77,0,
137,3000,218745,131620,18032,1212,3.012319e+06,949,2.892202e+06,979,519,224,295,0,3,12813.94568,3422.12,358,cap
138,383,7713,27057,3580,246,324079,189,191260,256,119,67,52,0,0,1216.83102,703.482,0,
139,230,2770,15442,592,136,32224,88,29298,133,71,36,35,0,0,279.66206,401.49199999999996,0,
140,371,4370,24951,1027,233,88040,172,98753,227,113,59,54,0,0,669.57459,648.726,0,
141,446,4705,30272,884,211,74216,164,70255,236,115,65,50,0,0,558.73453,787.072,0,
142,127,1379,8568,178,51,8026,38,4754,49,27,15,12,0,0,89.34269999999998,222.768,0,
143,186,2139,13653,373,95,16127,74,12900,111,51,26,25,0,0,182.08185999999998,354.978,0,
144,527,16311,32760,2609,4344,231562,196,88265,239,115,61,54,2,0,2807.63611,851.76,45,limit
145,404,4605,26174,1058,229,110858,182,92417,222,115,48,67,0,1,689.22015,680.524,0,
146,114,1129,7681,134,40,4200,31,3845,45,26,14,12,0,0,69.25835,199.706,0,
147,157,3517,8889,1221,4147,261641,46,5642,58,28,18,10,0,0,2361.96784,231.11399999999998,5,limit
148,231,2570,16803,512,100,39717,78,29736,122,64,43,21,0,0,261.11174,436.878,0,
149,401,5258,28282,1305,270,107117,213,106860,263,131,62,69,0,0,777.4598599999999,735.332,0,
150,346,3799,23123,761,185,67751,153,55355,198,91,47,44,0,0,487.03482999999994,601.198,0,
151,230,2491,16272,545,149,43227,116,31767,131,68,43,25,0,0,337.00606999999997,423.072,0,
152,209,1873,13454,251,93,10970,75,10124,86,43,25,18,0,0,168.86771999999996,349.804,0,
153,241,2232,15787,437,112,37153,90,21475,103,48,30,18,0,0,255.66779,410.462,0,
154,85,719,5737,55,13,1116,11,1022,24,14,12,2,0,0,22.66174,149.162,0,
155,279,2745,17861,522,129,33739,102,35040,135,63,37,26,0,0,309.01822,464.38599999999997,0,
156,322,2921,19345,575,157,51875,113,38386,149,67,36,31,0,0,365.06068,502.96999999999997,0,
157,3000,120158,128439,11405,1293,3.056052e+06,1028,3.053571e+06,1059,510,233,277,0,0,13418.020090000002,3339.4139999999998,319,cap
158,3000,96720,123626,9300,998,2.493908e+06,791,2.494238e+06,831,431,194,237,0,3,10874.52938,3214.276,461,cap
159,318,4564,22405,1134,180,91726,146,93769,192,100,57,43,0,0,606.04915,582.53,0,
160,3000,192436,138867,16527,1290,3.216353e+06,1004,3.223815e+06,1058,541,236,305,0,3,14026.359989999999,3610.542,349,cap
161,536,9063,36682,3418,330,380433,255,289437,353,176,103,73,0,0,1656.35025,953.732,0,
162,233,2978,16228,640,143,37590,107,28176,148,70,33,37,0,0,307.86608,421.928,0,
163,172,1176,9288,133,37,3085,26,3300,47,23,13,10,0,0,59.42229999999999,241.488,0,
164,329,4185,22617,1039,203,91256,171,72621,208,98,58,40,0,0,589.1423100000001,588.0419999999999,0,
165,102,1045,7013,92,24,2490,18,2044,35,13,10,3,0,0,40.149919999999995,182.338,0,
166,239,2736,16372,591,148,29815,123,23877,152,65,29,36,0,0,307.86021,425.67199999999997,0,
167,134,1153,8230,125,39,4615,30,3175,39,17,10,7,0,0,66.37695,213.98,0,
168,3000,43780,99894,5070,4620,563542,391,343751,440,221,98,123,0,0,4223.85469,2597.2439999999997,631,limit
169,256,3125,17590,566,143,24429,109,17715,141,82,43,39,0,0,267.08367,457.34,0,
170,133,1491,9874,212,66,7776,39,5015,69,31,22,9,0,0,98.04912999999999,256.724,0,
171,102,943,6981,111,37,2948,26,3250,44,21,8,13,0,0,59.12913999999999,181.506,0,
172,140,1434,9611,259,67,12935,60,15147,71,35,17,18,0,0,154.99291,249.886,0,
173,404,4338,25499,1030,214,108523,166,103596,206,110,63,47,0,0,690.6006199999999,662.9739999999999,0,
174,164,1303,9612,212,65,8286,52,7004,52,28,18,10,0,0,118.09299999999999,249.91199999999998,0,
175,196,2213,13702,409,106,24898,76,14292,109,59,33,26,0,0,203.6216,356.252,0,
176,270,2730,17142,534,130,26509,102,31977,118,64,38,26,0,0,292.91013,445.692,0,
177,122,1308,8424,179,57,5525,45,4203,56,32,14,18,0,0,95.72638999999998,219.024,0,
178,149,1452,9658,232,55,11520,47,10321,68,28,15,13,0,0,120.19282999999999,251.10799999999998,0,
179,292,3413,19911,751,171,73905,118,51623,155,81,47,34,0,0,438.22538999999995,517.6859999999999,0,
180,102,773,6257,50,11,1717,10,2097,30,17,15,2,0,0,24.11017,162.682,0,
181,226,2457,14432,540,119,51993,85,33164,111,50,31,19,0,0,301.62406,375.23199999999997,0,
182,217,2174,14608,376,103,19137,83,22719,103,55,32,23,0,0,225.45962999999998,379.808,0,
183,278,3085,21316,611,152,24683,113,19843,192,84,38,46,0,0,281.81102999999996,554.216,0,
184,127,1232,8382,130,32,4202,29,3920,48,23,17,6,0,0,63.36596,217.932,0,
185,3000,159150,144102,11173,1262,3.933922e+06,1045,3.933922e+06,1195,590,268,322,0,0,16773.590819999998,3746.652,305,cap
186,295,3535,18867,612,101,31656,86,26070,137,70,45,25,0,0,251.47717999999998,490.542,0,
187,107,1097,7238,159,43,3857,32,3415,44,20,12,8,0,0,70.28970999999999,188.188,0,
188,182,2027,12970,368,99,22120,73,13364,106,56,37,19,0,0,191.15992,337.21999999999997,0,
189,100,936,6623,82,22,2037,17,1583,35,18,15,3,0,0,36.314949999999996,172.19799999999998,0,
190,345,4625,24855,1085,220,95886,177,56777,241,128,58,70,0,2,567.85899,646.23,0,
191,75,782,5004,71,21,1534,17,1108,23,12,8,4,0,0,33.993159999999996,130.10399999999998,0,
192,391,5008,27993,1168,244,99432,186,79054,251,114,51,63,0,0,652.29778,727.818,0,
