run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,left_to_concrete,conceded
1,248,2470,20956,188,16,1444,13,825,6,4,3,1,0,0,26.227669999999996,544.856,0,
2,339,2854,29303,153,20,1849,20,1849,11,4,1,3,0,0,39.224689999999995,761.8779999999999,0,
3,406,3346,30035,175,25,3499,23,3167,17,6,3,3,0,0,50.42303,780.91,0,
4,221,1863,19370,80,12,645,12,645,5,2,1,1,0,0,21.765449999999998,503.62,0,
5,317,2508,25504,85,28,1652,28,1652,5,2,0,2,0,0,51.34612,663.1039999999999,0,
6,359,3142,28683,215,18,2301,16,2039,16,3,1,2,0,0,34.77975,745.7579999999999,0,
7,281,2384,24467,175,20,1404,20,1404,8,6,0,6,0,0,37.52924,636.1419999999999,0,
8,354,2910,28537,128,40,2612,38,2563,10,4,1,3,0,0,71.92285,741.962,0,
9,417,3329,30080,167,41,3222,39,3052,11,3,1,2,0,0,75.53772,782.0799999999999,0,
10,480,3594,34033,211,55,4240,51,4082,16,10,3,7,0,0,99.71385999999998,884.858,0,
11,396,3198,28418,177,52,5794,52,5794,5,3,0,3,0,0,105.74313999999998,738.8679999999999,0,
12,585,4389,40437,230,41,5569,36,4804,24,10,5,5,0,0,79.52493999999999,1051.3619999999999,0,
13,343,2468,25565,90,27,1691,27,1691,6,3,1,2,0,0,49.885709999999996,664.6899999999999,0,
14,335,2618,26013,99,35,1780,35,1780,6,3,0,3,0,0,63.0968,676.338,0,
15,374,3003,28655,127,45,2966,43,2852,9,5,3,2,0,0,81.14564,745.03,0,
16,327,2581,26315,96,22,1769,19,1566,8,5,2,3,0,0,38.214,684.1899999999999,0,
17,304,2406,22977,95,24,1889,21,1727,12,5,2,3,0,0,41.997029999999995,597.4019999999999,0,
18,383,2906,27804,125,26,3322,26,3322,11,7,4,3,0,0,54.49081999999999,722.904,0,
19,385,2770,28582,109,38,2898,38,2898,9,3,0,3,0,0,72.18338,743.132,0,
20,376,2662,28861,98,32,2334,32,2334,7,5,3,2,0,0,60.380539999999996,750.386,0,
21,453,3635,36839,124,71,2977,71,2977,7,4,0,4,0,0,125.58136999999999,957.814,0,
22,286,2225,22296,73,11,1411,11,1411,12,3,0,3,0,0,23.07491,579.696,0,
23,563,4347,38201,245,50,5385,47,4816,20,7,2,5,0,0,96.08037999999999,993.226,0,
24,308,2501,25981,89,35,1423,35,1423,6,2,0,2,0,0,61.736630000000005,675.506,0,
25,484,3619,33318,171,40,3322,35,2667,11,7,3,4,0,0,69.64417,866.2679999999999,0,
26,340,2807,25024,120,22,2800,22,2800,13,4,0,4,0,0,46.065999999999995,650.624,0,
27,291,2137,22571,80,15,660,15,660,5,2,0,2,0,0,26.6496,586.846,0,
28,428,3287,31600,128,32,2474,32,2474,13,7,3,4,0,0,60.91394,821.5999999999999,0,
29,266,2364,21326,113,18,2536,13,1606,7,5,2,3,0,0,30.528259999999996,554.476,0,
30,288,2249,22978,123,20,1319,20,1319,10,4,1,3,0,0,37.205389999999994,597.428,0,
31,446,4008,32968,309,54,4695,54,4784,9,9,4,5,0,0,105.00801999999999,857.168,0,
32,324,2580,23578,126,32,3101,30,3042,10,6,1,5,0,0,60.887640000000005,613.028,0,
33,285,2383,24007,72,22,1119,22,1119,5,4,1,3,0,0,39.661390000000004,624.182,0,
34,415,2885,28121,92,39,2186,37,1680,5,3,1,2,0,0,67.48888,731.146,0,
35,309,2390,22334,110,32,2484,32,2484,10,4,1,3,0,0,60.95203999999999,580.684,0,
36,470,3579,32612,150,44,3710,44,3710,12,6,1,5,0,0,84.9311,847.9119999999999,0,
37,399,3334,34210,123,58,2109,58,2109,6,4,0,4,0,0,101.35729,889.4599999999999,0,
38,404,3173,27385,176,27,3168,23,2543,13,4,2,2,0,0,49.34933,712.01,0,
39,336,2588,23494,172,28,3883,29,3585,11,4,1,3,0,0,60.19248999999999,610.8439999999999,0,
40,571,4258,38957,188,42,4480,35,3278,24,16,7,9,0,0,73.57553999999999,1012.882,0,
41,481,3377,32127,132,23,2765,19,2521,15,8,3,5,0,0,42.379929999999995,835.3019999999999,0,
42,423,3309,29967,131,19,2074,19,2074,10,6,2,4,0,0,38.472939999999994,779.1419999999999,0,
43,390,3163,30686,249,67,4969,64,4859,8,4,1,3,0,0,123.05559,797.836,0,
44,310,2645,25893,117,25,1555,24,1428,10,6,2,4,0,0,44.685539999999996,673.218,0,
