run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,left_to_concrete,conceded
1,156,1431,7757,170,33,1629,33,1629,2,0,0,0,0,0,59.30349,201.682,0,
2,61,598,4774,30,5,89,5,89,1,1,0,1,0,0,8.38409,124.124,0,
3,187,1639,12672,167,25,1388,23,1270,6,3,1,2,0,0,42.94294,329.472,0,
4,128,975,7170,63,10,639,10,639,2,0,0,0,0,0,18.52459,186.42,0,
5,171,1186,9954,88,35,1594,35,1594,2,1,0,1,0,0,62.38814,258.804,0,
6,115,815,7433,50,19,808,19,808,4,2,0,2,0,0,33.64948,193.25799999999998,0,
7,170,1228,10950,90,42,1809,42,1809,2,1,0,1,0,0,74.47028999999999,284.7,0,
8,76,585,4626,29,8,300,8,300,3,1,0,1,0,0,14.014999999999999,120.276,0,
9,96,633,5226,33,11,383,11,383,3,1,0,1,0,0,19.15823,135.876,0,
10,135,921,8251,67,22,1089,20,1043,4,2,1,1,0,0,37.166109999999996,214.52599999999998,0,
11,178,1083,10605,51,21,1064,21,1064,2,1,0,1,0,0,37.842839999999995,275.72999999999996,0,
12,78,681,5392,41,7,282,7,282,2,2,1,1,0,0,12.337419999999998,140.192,0,
13,86,538,5386,14,2,78,2,78,0,0,0,0,0,0,3.51518,140.036,0,
14,185,1215,11213,85,39,1584,39,1584,5,4,1,3,0,0,68.78603999999999,291.538,0,
15,129,889,7551,42,15,868,15,868,4,1,0,1,0,0,27.442079999999997,196.326,0,
16,178,1172,11400,63,33,1478,33,1478,4,2,0,2,0,0,58.72818,296.4,0,
17,197,1180,11544,56,19,1262,19,1262,4,2,0,2,0,0,35.37922,300.144,0,
18,74,618,4895,42,9,540,9,540,3,1,0,1,0,0,16.5384,127.27,0,
19,202,1150,10577,76,37,2175,36,2149,2,1,1,0,0,0,66.62137,275.002,0,
20,119,774,7450,41,16,781,16,781,5,1,0,1,0,0,28.71961,193.7,0,
21,217,1207,12797,59,25,1284,25,1284,7,3,0,3,0,0,45.117039999999996,332.722,0,
22,100,606,4958,35,9,311,9,311,2,1,0,1,0,0,15.665909999999998,128.908,0,
23,148,972,9315,47,7,684,7,684,4,2,1,1,0,0,13.86904,242.19,0,
24,126,865,6653,44,7,310,7,310,1,0,0,0,0,0,12.444099999999999,172.97799999999998,0,
25,140,1084,8324,70,14,702,14,702,3,1,0,1,0,0,25.20062,216.42399999999998,0,
26,77,537,3924,31,8,261,8,261,2,1,0,1,0,0,13.866409999999998,102.024,0,
27,119,683,6176,30,8,401,8,401,3,1,0,1,0,0,14.399809999999999,160.576,0,
28,116,738,6992,35,19,717,19,717,2,1,0,1,0,0,33.30277,181.792,0,
29,84,650,5051,31,9,437,9,437,3,2,0,2,0,0,16.14597,131.326,0,
30,107,773,6626,44,13,770,13,770,3,2,0,2,0,0,23.850699999999996,172.27599999999998,0,
31,114,693,5917,29,6,364,5,332,3,2,1,1,0,0,9.82668,153.84199999999998,0,
32,242,1338,13320,82,31,1515,31,1515,8,6,1,5,0,0,55.651149999999994,346.32,0,
33,111,744,5929,37,7,344,7,344,2,1,0,1,0,0,12.57364,154.154,0,
34,91,649,5467,34,12,507,12,507,4,2,0,2,0,0,21.239669999999997,142.142,0,
35,98,655,5100,33,17,611,17,611,3,0,0,0,0,0,29.680909999999997,132.6,0,
36,95,603,5812,18,4,169,4,169,1,1,0,1,0,0,7.07989,151.112,0,
37,83,557,5218,14,3,185,3,185,2,1,0,1,0,0,5.5318499999999995,135.668,0,
38,93,623,5135,23,5,411,4,351,4,1,1,0,0,0,8.32311,133.51,0,
39,120,759,7354,41,11,647,9,509,3,3,1,2,0,0,17.54113,191.20399999999998,0,
40,120,858,7323,50,18,1134,18,1134,2,2,0,2,0,0,33.28254,190.398,0,
41,117,727,6890,36,14,594,14,594,2,2,0,2,0,0,24.78914,179.14,0,
42,79,543,4939,17,4,160,4,160,2,1,0,1,0,0,7.045599999999999,128.414,0,
43,123,712,6853,30,9,587,8,525,3,2,1,1,0,0,15.424409999999998,178.178,0,
44,217,1483,12785,107,45,2445,45,2445,3,2,0,2,0,0,81.72045,332.40999999999997,0,
45,75,564,4342,21,5,182,5,182,1,1,0,1,0,0,8.73842,112.892,0,
46,93,591,6063,21,9,220,9,220,1,1,0,1,0,0,15.319199999999997,157.638,0,
47,123,777,7342,48,17,669,17,669,3,3,1,2,0,0,29.901889999999995,190.892,0,
48,203,1250,11364,82,24,1961,24,1961,6,4,0,4,0,0,46.08741,295.464,0,
49,98,599,5811,16,4,169,4,169,2,2,1,1,0,0,7.07989,151.08599999999998,0,
50,222,1378,12817,84,28,1921,27,1849,7,2,1,1,0,0,51.051649999999995,333.24199999999996,0,
51,221,1350,11714,99,28,2166,28,2166,5,4,1,3,0,0,53.30445999999999,304.56399999999996,0,
52,264,1480,15812,70,22,1466,20,1435,6,4,1,3,0,0,38.64193,411.11199999999997,0,
53,342,2008,19439,143,44,4155,42,4097,9,5,1,4,0,0,84.21400999999999,505.414,0,
54,136,1012,8116,86,42,1544,42,1544,2,1,0,1,0,0,73.46064,211.016,0,
55,111,751,6334,34,12,477,12,477,2,1,0,1,0,0,21.125369999999997,164.684,0,
56,187,1031,9301,56,19,1301,19,1301,6,0,0,0,0,0,35.527809999999995,241.826,0,
57,148,951,8482,45,25,955,25,955,2,0,0,0,0,0,43.863550000000004,220.53199999999998,0,
58,191,929,9522,34,9,722,9,722,7,2,0,2,0,0,17.23182,247.572,0,
59,158,1081,9749,73,39,1544,39,1544,4,2,0,2,0,0,68.63364,253.474,0,
60,144,929,8860,58,11,773,9,734,6,3,1,2,0,0,18.28156,230.35999999999999,0,
61,92,572,4796,23,5,242,5,242,3,1,0,1,0,0,8.967019999999998,124.696,0,
62,137,837,8123,37,11,681,11,681,4,2,0,2,0,0,20.29361,211.19799999999998,0,
63,76,541,4244,21,2,166,2,166,2,0,0,0,0,0,3.85046,110.344,0,
64,115,791,6941,36,10,556,10,556,2,1,0,1,0,0,18.20836,180.46599999999998,0,
65,169,1128,9605,73,27,1680,27,1680,5,3,0,3,0,0,49.843799999999995,249.73,0,
66,156,1052,8894,57,24,1240,24,1240,3,0,0,0,0,0,43.3404,231.244,0,
67,96,653,5648,24,7,371,7,371,4,1,0,1,0,0,12.676509999999999,146.84799999999998,0,
68,136,914,8089,39,10,889,10,889,6,2,0,2,0,0,19.477089999999997,210.314,0,
69,95,685,5746,32,12,536,12,536,2,0,0,0,0,0,21.35016,149.396,0,
70,169,1093,10814,70,21,1553,20,1451,6,3,1,2,0,0,38.30767,281.164,0,
71,133,841,8234,44,15,701,15,701,2,0,0,0,0,0,26.805809999999997,214.084,0,
72,101,641,5678,27,11,447,11,447,1,1,0,1,0,0,19.40207,147.628,0,
73,68,465,4281,15,2,82,2,82,1,0,0,0,0,0,3.53042,111.306,0,
74,94,638,5057,41,17,504,17,504,2,0,0,0,0,0,29.273239999999998,131.482,0,
75,61,493,4377,15,2,168,2,168,2,0,0,0,0,0,3.8580799999999997,113.80199999999999,0,
76,207,1315,11534,97,40,2305,40,2305,6,3,0,3,0,0,73.14205,299.884,0,
77,242,1436,13675,69,23,1503,23,1503,4,2,0,2,0,0,42.73343,355.55,0,
78,100,725,6805,31,8,388,8,362,2,1,1,0,0,0,14.281899999999998,176.92999999999998,0,
79,182,1124,9813,52,13,1245,13,1245,5,2,0,2,0,0,25.660449999999997,255.13799999999998,0,
80,181,1097,10140,46,15,819,15,819,3,1,0,1,0,0,27.25539,263.64,0,
81,114,775,7100,49,12,774,12,774,6,4,1,3,0,0,22.25694,184.6,0,
82,169,1089,9113,64,30,1742,30,1742,3,0,0,0,0,0,54.907019999999996,236.938,0,
83,225,1387,12998,80,20,1452,18,1326,5,2,1,1,0,0,35.12074,337.948,0,
84,260,1541,14972,97,29,2252,28,2175,10,5,1,4,0,0,53.908609999999996,389.272,0,
85,98,700,5667,36,10,539,10,539,2,0,0,0,0,0,18.14359,147.34199999999998,0,
86,89,623,6076,24,10,427,10,427,2,2,1,1,0,0,17.71687,157.976,0,
87,99,612,6183,28,9,317,9,317,2,1,0,1,0,0,15.688769999999998,160.75799999999998,0,
88,85,596,5744,34,8,435,6,312,2,2,1,1,0,0,11.94586,149.344,0,
89,110,768,6892,44,17,942,17,942,3,2,0,2,0,0,30.94202,179.19199999999998,0,
90,124,700,6249,28,8,372,8,372,2,1,0,1,0,0,14.289319999999998,162.474,0,
91,220,1268,12588,78,39,2103,38,2074,7,3,1,2,0,0,69.55716000000001,327.288,0,
92,102,752,6686,37,13,566,13,566,1,0,0,0,0,0,23.073459999999997,173.83599999999998,0,
93,155,1005,8142,83,39,1974,39,1974,3,0,0,0,0,0,70.27194,211.69199999999998,0,
94,135,879,7510,50,22,1102,22,1102,3,0,0,0,0,0,39.59662,195.26,0,
95,164,1108,9485,62,26,1459,26,1459,4,1,0,1,0,0,47.39278999999999,246.60999999999999,0,
96,143,908,8898,53,17,1101,17,1101,6,2,0,2,0,0,31.547809999999995,231.34799999999998,0,
97,136,804,7124,38,13,740,13,740,3,2,0,2,0,0,23.7364,185.224,0,
98,89,694,5670,35,13,500,13,500,2,1,0,1,0,0,22.822,147.42,0,
99,292,1830,14759,149,53,4283,53,4283,4,2,0,2,0,0,101.59523,383.734,0,
100,150,1040,8877,62,16,1068,16,1068,4,4,0,4,0,0,29.813079999999996,230.802,0,
101,113,773,7736,37,14,492,14,492,1,1,0,1,0,0,24.400519999999997,201.136,0,
102,106,708,6036,54,17,868,16,752,4,3,1,2,0,0,29.224999999999998,156.93599999999998,0,
103,149,901,8002,54,22,996,22,996,3,2,1,1,0,0,39.19276,208.052,0,
