run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,left_to_concrete,conceded
1,92,1460,6150,154,18,1357,17,1145,31,16,9,7,0,0,32.44461,159.9,0,
2,61,1024,6245,67,12,1026,12,1026,35,19,14,5,0,0,23.217059999999996,162.37,0,
3,178,4419,13573,878,4163,40810,47,5305,66,29,14,15,0,0,2109.29495,352.89799999999997,38,limit
4,94,1787,8875,274,46,6761,36,5101,65,43,30,13,0,0,84.10761,230.75,0,
5,171,2831,14996,549,86,29686,70,25071,116,62,39,23,0,0,221.26020999999997,389.89599999999996,0,
6,123,1504,7214,557,4102,60274,5,113,3,2,1,1,0,0,2041.92851,187.564,42,limit
7,258,5281,25869,1393,180,74149,128,54603,227,118,67,51,0,0,461.96171,672.5939999999999,0,
8,102,1340,8902,112,25,2709,21,2442,52,18,11,7,0,0,45.324079999999995,231.452,0,
9,95,1147,7488,80,21,2596,21,2596,45,21,15,6,0,0,43.679759999999995,194.688,0,
10,143,1782,11395,216,49,9230,43,8032,71,34,21,13,0,0,104.07656,296.27,0,
11,168,4735,14674,1420,4145,258784,41,6382,95,36,22,14,0,3,2353.9347799999996,381.524,20,limit
12,138,1725,10652,186,55,6930,42,4544,69,39,29,10,0,0,93.93311999999999,276.952,0,
13,86,951,6840,52,13,1123,13,1109,34,15,9,6,0,0,25.15881,177.84,0,
14,186,2779,17322,360,89,12785,65,10505,143,61,33,28,0,1,158.79545,450.37199999999996,0,
15,158,2002,12865,238,70,12190,52,10057,88,46,31,15,0,0,133.12410999999997,334.49,0,
16,167,1654,11359,153,57,5124,50,4626,62,37,22,15,0,0,102.0157,295.334,0,
17,174,2491,15855,278,76,11655,58,10067,116,60,38,22,0,0,142.17310999999998,412.22999999999996,0,
18,72,1199,7094,116,20,2142,20,2142,45,18,11,7,0,0,40.34102,184.444,0,
19,227,2809,18750,358,97,23332,80,17152,143,68,41,27,0,0,209.50451999999999,487.5,0,
20,122,1709,11043,211,62,8453,48,6031,79,40,26,14,0,0,109.77407,287.118,0,
21,80,1055,6721,82,33,2714,25,1770,38,21,13,8,0,0,51.91461999999999,174.74599999999998,0,
22,107,1135,7839,62,20,2267,23,2479,46,21,15,6,0,0,44.764829999999996,203.814,0,
23,123,1595,10462,158,55,6701,41,4505,68,34,20,14,0,1,92.43033,272.012,0,
24,123,1317,8467,96,37,2880,34,2477,49,21,12,9,0,0,66.05591,220.142,0,
25,504,4487,30643,575,188,28197,181,29787,175,85,37,48,0,0,406.19426999999996,796.718,0,
26,92,1198,7641,82,15,2657,15,2657,47,29,22,7,0,0,34.25817,198.666,0,
27,94,915,5829,54,15,1223,15,1223,29,19,10,9,0,0,28.794629999999998,151.554,0,
28,182,2516,15897,332,83,18186,68,17307,119,61,45,16,0,0,183.57389,413.322,0,
29,207,1898,12185,183,49,6816,44,6591,70,36,23,13,0,0,98.56821,316.81,0,
30,295,6188,21394,2757,4236,980973,76,9900,79,43,15,28,0,0,3298.5091399999997,556.244,72,limit
31,93,1074,6724,62,11,1228,11,1228,35,20,16,4,0,0,22.37768,174.82399999999998,0,
32,174,1869,12328,218,57,8152,43,7292,70,33,22,11,0,0,104.69032,320.52799999999996,0,
33,119,1484,9027,180,53,8387,45,6157,58,40,21,19,0,0,102.32656999999999,234.702,0,
34,87,1328,8436,98,25,3037,22,2980,53,31,23,8,0,1,48.256060000000005,219.33599999999998,0,
35,225,3122,18393,539,113,45626,90,30389,136,75,43,32,0,1,289.58875,478.21799999999996,0,
36,84,989,6661,56,17,1178,12,945,31,14,8,6,0,0,25.57839,173.18599999999998,0,
37,100,1261,8351,102,35,3012,32,3029,50,27,16,11,0,1,64.44542999999999,217.12599999999998,0,
38,138,1891,11062,257,74,12227,56,6385,74,36,23,13,0,0,129.94641,287.61199999999997,0,
39,139,1819,11920,223,58,11005,44,9308,80,48,29,19,0,0,114.96794,309.91999999999996,0,
40,237,3534,21279,760,146,89087,95,43056,161,88,53,35,0,1,395.64394,553.254,0,
41,156,2109,13611,220,65,10273,51,8818,108,49,29,20,0,0,124.07847999999998,353.88599999999997,0,
42,120,1096,7569,73,26,1917,24,1698,36,18,13,5,0,0,46.3018,196.79399999999998,0,
43,153,1687,11372,176,56,7650,50,7904,72,42,26,16,0,0,113.13852,295.67199999999997,0,
44,172,7064,16175,1870,4185,283088,58,14051,112,59,34,25,0,0,2441.15297,420.54999999999995,18,limit
45,78,1034,6957,68,21,1479,21,1479,36,19,11,8,0,0,39.423989999999996,180.882,0,
46,155,1766,11685,203,84,15897,43,5669,75,43,29,14,0,0,122.49392999999999,303.81,0,
47,81,1027,6782,61,28,1529,27,1613,36,23,14,9,0,0,49.96841,176.332,0,
48,224,3205,20337,439,101,19200,89,17422,155,81,48,33,0,1,217.42486,528.762,0,
49,116,1244,7991,96,26,2483,22,2399,46,21,16,5,0,1,46.553309999999996,207.766,0,
50,67,947,6525,59,15,1158,15,1158,38,21,15,6,0,0,28.546979999999998,169.65,0,
51,441,25782,42490,5064,4428,1.125544e+06,223,150295,382,191,103,88,0,2,4096.4197699999995,1104.74,22,limit
