run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,conceded
1,102,1354,6227,202,14,1760,24,2654,35,16,13,0,0,0,0,102,
2,61,711,5359,64,6,1144,8,1162,35,21,19,0,0,0,0,61,
3,213,3331,16453,1071,94,22980,151,68049,169,82,52,0,0,0,0,213,
4,131,1483,8765,275,36,11661,51,12847,79,37,29,0,0,0,0,131,
5,239,2457,16419,426,79,19069,101,20375,146,85,65,0,0,0,0,239,
6,91,913,7079,111,20,2870,24,2801,50,28,21,0,0,0,0,91,
7,179,2393,14244,546,83,26397,106,23281,160,70,36,0,0,0,0,179,
8,119,1225,9036,156,27,4693,36,5275,73,33,23,0,0,0,0,119,
9,100,967,6577,155,24,4623,36,4553,52,18,12,0,0,0,0,100,
10,232,2850,17314,749,93,36399,151,53389,173,81,56,0,0,0,0,232,
11,182,1859,12006,338,42,14091,64,21719,109,57,46,0,0,0,0,182,
12,78,1145,6188,246,19,3160,28,5730,45,20,12,0,0,0,0,78,
13,97,959,6900,115,14,2363,19,2484,47,29,21,0,0,0,0,97,
14,180,1968,13045,408,59,13059,71,17270,117,55,38,0,0,0,0,180,
15,160,2060,10927,563,55,16694,105,46462,102,47,36,0,0,0,0,160,
16,117,1293,8919,219,43,9238,49,8251,73,37,25,0,0,0,0,117,
17,201,2205,13958,441,66,23038,91,21099,137,63,43,0,0,0,0,201,
18,105,1394,8231,274,45,16422,57,10825,78,41,24,0,0,0,0,105,
19,215,1869,14376,333,49,20800,70,16636,128,58,42,0,0,0,0,215,
20,99,1027,7855,147,19,4179,32,4605,68,31,21,0,0,0,0,99,
21,126,1366,9943,212,42,7194,57,7957,87,43,29,0,0,0,0,126,
22,107,819,6705,78,13,2211,17,2605,46,20,16,0,0,0,0,107,
23,205,2163,14450,447,57,18962,95,26297,129,71,57,0,0,0,0,205,
24,116,923,6887,94,17,2462,27,2205,43,17,15,0,0,0,0,116,
25,157,1681,11707,305,43,13834,59,17659,103,51,30,0,0,0,0,157,
26,111,1042,7672,145,22,3844,40,4496,56,36,31,0,0,0,0,111,
