run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,conceded
1,156,1413,7847,163,33,1559,33,1559,2,0,0,0,0,0,0,156,
2,61,564,4784,32,5,91,5,91,1,1,0,0,0,0,0,61,
3,187,1339,12732,86,22,1211,24,1277,6,3,1,0,0,0,0,187,
4,128,899,7200,50,11,717,11,717,2,1,0,0,0,0,0,128,
5,197,1670,11825,153,37,1779,37,1779,3,1,0,0,0,0,0,197,
6,115,972,7473,72,15,693,15,693,4,1,0,0,0,0,0,115,
7,169,1193,11177,90,38,1664,38,1664,2,0,0,0,0,0,0,169,
8,76,705,4646,53,8,291,8,291,3,1,0,0,0,0,0,76,
9,96,675,5246,49,11,366,11,366,3,1,0,0,0,0,0,96,
10,135,946,8311,79,20,1085,22,1104,4,2,1,0,0,0,0,135,
11,178,1087,10675,59,20,990,20,990,2,1,0,0,0,0,0,178,
12,78,608,5412,26,7,272,7,272,2,2,1,0,0,0,0,78,
13,86,510,5396,13,2,67,2,67,0,0,0,0,0,0,0,86,
14,120,799,7500,43,19,741,19,741,3,2,0,0,0,0,0,120,
15,81,672,5164,60,10,432,10,423,3,2,1,0,0,0,0,81,
16,178,1213,11520,82,31,1401,31,1401,4,2,0,0,0,0,0,178,
17,132,927,8077,61,23,1174,23,1174,2,1,0,0,0,0,0,132,
18,74,594,4915,38,12,459,12,459,3,1,0,0,0,0,0,74,
19,202,1165,10667,92,33,1958,35,1996,2,1,1,0,0,0,0,202,
20,92,646,5771,40,14,553,14,553,3,1,0,0,0,0,0,92,
21,80,573,5127,32,6,324,7,388,5,2,1,0,0,0,0,80,
22,100,573,4978,26,9,303,9,303,2,1,0,0,0,0,0,100,
23,131,842,7787,35,10,652,10,652,2,2,0,0,0,0,0,131,
24,126,764,6673,27,7,299,7,299,1,0,0,0,0,0,0,126,
25,140,852,8374,36,15,701,15,701,3,1,0,0,0,0,0,140,
26,77,547,3934,30,8,357,8,396,2,1,0,0,0,0,0,77,
27,119,670,6196,31,9,505,9,505,3,2,0,0,0,0,0,119,
28,213,1331,12570,81,42,1904,42,1904,4,1,0,0,0,0,0,213,
29,84,646,5071,30,8,391,8,391,3,1,0,0,0,0,0,84,
30,86,690,5702,74,10,373,10,373,3,2,1,0,0,0,0,86,
31,114,714,5937,56,5,327,5,327,3,2,1,0,0,0,0,114,
32,150,845,7391,38,15,617,15,617,2,1,0,0,0,0,0,150,
33,111,712,5949,29,7,331,7,331,2,1,0,0,0,0,0,111,
34,91,647,5487,35,13,571,13,647,4,2,0,0,0,0,0,91,
35,98,660,5130,41,16,565,16,565,3,0,0,0,0,0,0,98,
36,95,583,5822,17,4,154,4,154,1,1,0,0,0,0,0,95,
37,83,558,5228,16,3,168,3,168,2,1,0,0,0,0,0,83,
38,93,617,5155,25,4,340,5,380,4,1,1,0,0,0,0,93,
39,116,713,6403,36,13,565,13,565,3,1,0,0,0,0,0,116,
40,126,894,8251,50,21,1099,21,1099,2,2,0,0,0,0,0,126,
41,106,651,6106,28,10,389,10,389,2,2,0,0,0,0,0,106,
42,79,526,4949,17,4,156,4,156,2,1,0,0,0,0,0,79,
43,121,681,6856,28,7,425,8,483,3,1,1,0,0,0,0,121,
44,217,1450,12945,113,43,2385,43,2385,3,2,0,0,0,0,0,217,
45,75,555,4352,23,6,193,6,193,1,1,0,0,0,0,0,75,
46,93,582,6083,17,8,191,8,191,1,0,0,0,0,0,0,93,
47,123,788,7372,45,16,629,16,629,3,3,1,0,0,0,0,123,
48,203,1228,11414,74,24,1916,24,1916,6,4,0,0,0,0,0,203,
49,105,682,6120,26,6,268,6,268,2,2,1,0,0,0,0,105,
50,224,1400,13159,89,27,1807,28,1870,7,2,1,0,0,0,0,224,
51,221,1392,11774,147,28,2239,28,2196,5,4,1,0,0,0,0,221,
52,181,1059,10531,62,21,1088,21,1088,3,2,0,0,0,0,0,181,
53,342,1987,19519,134,42,3931,44,3969,9,5,1,0,0,0,0,342,
54,136,987,8236,64,33,1388,33,1388,2,1,0,0,0,0,0,136,
55,111,742,6354,38,12,474,12,474,2,1,0,0,0,0,0,111,
56,187,1020,9331,54,19,1252,19,1252,6,0,0,0,0,0,0,187,
57,148,959,8552,47,26,952,26,952,2,0,0,0,0,0,0,148,
58,191,925,9552,31,10,704,10,704,7,2,0,0,0,0,0,191,
59,148,1004,9222,66,35,1272,35,1272,4,1,0,0,0,0,0,148,
60,164,1066,10243,77,12,919,12,919,8,3,1,0,0,0,0,164,
61,92,568,4806,28,5,226,5,226,3,1,0,0,0,0,0,92,
