run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,conceded
1,104,1964,7279,589,91,10663,147,20713,74,39,27,0,0,0,0,104,
2,61,1206,6071,334,72,8800,111,14259,69,31,20,0,0,0,0,61,
3,142,2421,10790,789,156,36059,210,42072,139,75,49,0,0,0,0,142,
4,162,4990,13605,2774,213,152463,308,213612,202,91,55,0,0,0,0,162,
5,235,4280,16837,1884,216,132025,281,161950,194,105,63,0,0,0,0,235,
6,91,1922,8004,590,109,19007,152,31087,96,49,29,0,0,0,0,91,
7,148,3178,12910,1231,194,96911,288,121058,181,91,55,0,0,0,0,148,
8,114,2006,9888,624,139,40779,183,54114,126,54,28,0,0,0,0,114,
9,93,1383,7107,409,95,19551,148,24088,84,48,29,0,0,0,0,93,
10,182,2636,13078,871,181,75217,252,98745,158,72,41,0,0,0,0,182,
11,219,10665,17209,8076,316,679953,419,439180,259,141,86,0,0,0,0,219,
12,124,2562,10989,880,169,50422,257,77629,165,88,55,0,0,0,0,124,
13,104,1719,8861,604,112,15016,198,47884,111,50,33,0,0,0,0,104,
14,187,3696,13404,1757,195,128295,262,138303,178,100,57,0,0,0,0,187,
15,98,1734,8183,535,128,30102,172,51158,105,58,39,0,0,0,0,98,
16,150,3322,13688,1459,207,108972,315,254017,203,90,53,0,0,0,0,150,
17,210,5103,18136,2549,303,336054,377,412206,269,134,74,0,0,0,0,210,
18,72,1359,6878,389,93,23073,134,30662,88,46,30,0,0,0,0,72,
19,196,3140,15419,1245,214,120857,314,174702,212,91,56,0,0,0,0,196,
20,99,1862,9101,583,132,43299,173,53643,129,62,34,0,0,0,0,99,
21,262,5755,19152,3056,269,301660,361,327271,255,120,73,0,0,0,0,262,
22,102,1228,6878,285,86,11866,111,14732,71,35,21,0,0,0,0,102,
23,104,1805,9135,567,124,28787,188,41762,124,56,37,0,0,0,0,104,
24,116,1266,7552,272,93,13059,120,16114,76,35,17,0,0,0,0,116,
25,168,3057,13878,1197,209,112090,279,146564,197,104,61,0,0,0,0,168,
26,88,1227,6465,351,89,13020,132,19338,74,38,24,0,0,0,0,88,
27,178,2487,12346,844,156,54697,238,89908,148,72,46,0,0,0,0,178,
28,186,5192,14663,3140,268,470731,299,209010,207,102,58,0,0,0,0,186,
29,166,1572,8452,401,89,9493,141,22935,76,36,24,0,0,0,0,166,
30,229,4753,17577,2400,246,93029,370,145610,221,113,66,0,0,0,0,229,
31,93,1264,6592,382,73,9119,137,25605,71,30,22,0,0,0,0,93,
32,174,2139,11762,654,142,52052,175,55278,129,73,42,0,0,0,0,174,
33,121,2122,8967,864,119,29926,164,40486,115,54,31,0,0,0,0,121,
34,73,1408,6780,464,99,22460,135,36442,85,45,24,0,0,0,0,73,
35,103,1940,8667,670,119,33991,195,58821,117,58,36,0,0,0,0,103,
36,84,1151,6576,328,77,12841,108,20679,65,29,16,0,0,0,0,84,
37,283,4902,21093,1975,294,283519,425,353687,270,138,83,0,0,0,0,283,
38,260,4743,19415,1998,280,346103,356,311373,259,145,91,0,0,0,0,260,
39,123,2524,9974,838,141,40520,204,51031,127,71,41,0,0,0,0,123,
40,173,3087,14101,1024,201,107276,277,136089,196,119,79,0,0,0,0,173,
41,111,1518,8562,435,108,30948,156,37677,106,52,33,0,0,0,0,111,
42,182,1985,11153,532,136,33612,192,37927,122,66,41,0,0,0,0,182,
43,156,1943,10846,592,150,42235,214,45528,132,69,40,0,0,0,0,156,
44,108,2114,9675,725,160,40255,208,54341,148,69,40,0,0,0,0,108,
45,94,1360,7244,357,99,16860,139,25166,91,37,21,0,0,0,0,94,
46,98,1569,8632,498,121,32800,165,37478,113,66,42,0,0,0,0,98,
47,81,1078,6593,244,84,11175,104,12369,72,29,17,0,0,0,0,81,
48,156,2889,13921,982,209,93701,277,111639,193,110,65,0,0,0,0,156,
49,205,5089,16114,2799,238,167832,355,175446,231,109,65,0,0,0,0,205,
50,67,1160,6392,290,89,13323,103,13353,76,34,18,0,0,0,0,67,
51,386,19060,35137,13441,618,1.729415e+06,815,1.46726e+06,624,342,205,0,0,0,0,386,
52,287,3616,17300,1220,225,103170,308,155094,198,100,55,0,0,0,0,287,
53,237,27043,20936,11773,4429,6.633168e+06,482,507931,341,170,100,0,0,0,0,237,limit
54,200,5585,18289,2911,278,101708,427,157624,279,149,91,0,0,0,0,200,
55,96,1821,8505,596,123,39131,164,50542,114,60,28,0,0,0,0,96,
56,175,2978,13523,1073,195,49530,305,93476,192,97,61,0,0,0,0,175,
57,361,17405,31427,12693,651,2.009566e+06,712,1.049094e+06,498,255,151,0,0,0,0,361,
58,97,1891,8782,647,131,50973,172,72737,121,54,29,0,0,0,0,97,
59,152,3012,13893,1023,200,75860,275,92827,197,92,55,0,0,0,0,152,
60,398,58066,33076,18356,503,1.044438e+06,770,1.678667e+06,505,255,162,0,0,0,0,398,overflow
61,416,116477,36913,24180,641,2.093798e+06,826,1.789925e+06,613,322,198,0,0,0,0,416,overflow
62,83,1400,6502,307,78,10708,107,12854,72,36,21,0,0,0,0,83,
