run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,conceded
1,92,1073,5150,133,10,694,11,896,21,10,9,0,0,0,0,92,
2,61,661,5116,55,5,760,7,778,23,12,11,0,0,0,0,61,
3,162,2204,11674,532,64,13851,75,16284,82,37,17,0,0,0,0,162,
4,102,1086,6432,119,20,1959,25,2099,33,18,16,0,0,0,0,102,
5,129,1211,8154,133,28,2777,35,2930,43,25,21,0,0,0,0,129,
6,180,2225,11822,496,80,20957,93,23785,100,51,20,0,0,0,0,180,
7,93,940,7480,124,26,1960,29,2186,45,22,16,0,0,0,0,93,
8,88,779,6591,76,20,1901,20,1855,33,12,7,0,0,0,0,88,
9,83,631,5025,48,10,1274,11,1179,24,12,9,0,0,0,0,83,
10,172,1927,11296,468,89,24596,107,23370,76,44,26,0,0,0,0,172,
11,235,3073,15708,1060,129,49012,163,84090,132,59,30,0,0,0,0,235,
12,85,895,6289,119,23,2246,29,2763,36,20,12,0,0,0,0,85,
13,86,648,5729,49,7,995,8,1006,23,14,13,0,0,0,0,86,
14,206,2081,13204,400,65,16223,83,25174,96,40,27,0,0,0,0,206,
15,189,1975,12859,429,65,15299,97,32144,86,45,31,0,0,0,0,189,
16,124,1316,8854,276,45,7739,59,17113,56,25,15,0,0,0,0,124,
17,347,3915,23574,929,132,50196,170,73280,197,96,54,0,0,0,0,347,
18,81,970,5999,137,32,2899,38,2983,40,22,11,0,0,0,0,81,
19,178,1381,10203,233,55,7328,66,7962,67,25,12,0,0,0,0,178,
20,107,1030,7658,148,26,3439,42,4174,52,25,18,0,0,0,0,107,
21,80,660,5486,63,14,1081,20,1487,26,13,12,0,0,0,0,80,
22,100,665,5350,67,16,1461,22,1555,25,9,4,0,0,0,0,100,
23,83,774,5877,78,19,1894,21,1893,32,21,16,0,0,0,0,83,
24,128,991,7465,108,25,2413,35,3737,39,17,12,0,0,0,0,128,
25,104,795,6469,79,21,2035,21,1912,33,19,14,0,0,0,0,104,
26,82,671,4887,61,18,1153,18,1197,22,10,8,0,0,0,0,82,
27,156,1357,8423,233,49,6321,66,9957,60,32,18,0,0,0,0,156,
28,156,1560,10750,258,56,7029,68,8456,83,36,19,0,0,0,0,156,
29,120,1357,8567,213,43,7268,54,9085,62,30,12,0,0,1,0,120,
30,126,1171,7975,159,39,3931,56,4569,54,22,17,0,0,0,0,126,
31,100,670,5277,49,10,875,15,1048,21,13,11,0,0,0,0,100,
32,160,1171,8531,156,34,5200,45,5400,47,21,11,0,0,0,0,160,
33,175,1411,10687,214,48,7259,63,8612,67,34,21,0,0,0,0,175,
34,94,894,7163,79,20,1957,25,1992,39,23,20,0,0,0,0,94,
35,129,1257,8171,213,42,7239,56,10885,57,30,20,0,0,0,0,129,
36,95,745,6259,69,10,1645,11,1746,29,16,15,0,0,0,0,95,
37,121,1149,8082,179,39,5482,47,5973,55,32,17,0,0,0,0,121,
38,102,888,6931,88,21,1796,30,2197,36,22,20,0,0,0,0,102,
39,293,2741,17620,618,103,46340,125,57342,122,56,34,0,0,0,0,293,
40,122,1191,7805,169,33,4324,36,4683,48,23,16,0,0,0,0,122,
41,169,1385,10889,214,54,9919,61,9781,75,43,26,0,0,0,0,169,
42,81,662,5585,53,9,736,10,973,25,11,9,0,0,0,0,81,
43,120,856,7723,88,18,2015,24,2562,40,17,13,0,0,0,0,120,
44,117,1314,8946,226,39,6191,54,9995,55,24,15,0,0,0,0,117,
45,78,699,5097,53,10,793,14,1016,21,8,7,0,0,0,0,78,
46,93,733,6568,68,9,1739,13,1884,36,16,14,0,0,0,0,93,
47,123,1015,8034,156,29,2882,44,5519,46,28,22,0,0,0,0,123,
48,114,1351,8106,242,45,5750,65,7740,65,29,13,0,0,0,0,114,
49,184,1818,11110,390,62,9836,92,19951,90,44,26,0,0,0,0,184,
50,105,1087,7694,165,32,4530,41,5650,46,25,17,0,0,0,0,105,
51,173,1636,9969,352,68,20441,79,15005,72,31,18,0,0,0,0,173,
52,258,1824,14371,268,70,11199,80,10389,85,36,21,0,0,0,0,258,
53,136,1531,9144,279,58,9845,73,10168,72,28,13,0,0,0,0,136,
54,128,1425,8983,261,55,7642,69,9000,70,33,12,0,0,0,0,128,
55,106,922,6131,157,39,3067,50,5787,39,19,11,0,0,0,0,106,
56,108,946,6951,136,41,3011,44,3638,45,28,16,0,0,0,0,108,
57,294,7198,17655,2221,4184,601611,116,33589,107,61,37,0,0,0,0,294,limit
58,206,1568,11482,271,48,9312,59,8786,81,35,21,0,0,0,0,206,
59,234,3011,16163,1022,89,52441,103,46635,128,67,41,0,0,0,0,234,
60,153,1514,10188,272,47,9394,66,12794,73,42,30,0,0,0,0,153,
61,127,980,7283,116,26,2475,37,2403,41,21,17,0,0,0,0,127,
62,129,1130,8347,177,40,5750,50,7251,52,26,17,0,0,0,0,129,
63,80,648,5134,47,10,859,10,859,24,11,9,0,0,0,0,80,
64,160,1352,10354,199,54,7140,61,8685,57,26,14,0,0,0,0,160,
65,94,917,6982,102,26,1927,37,2421,39,20,16,0,0,0,0,94,
66,184,2179,13158,584,82,38532,111,50378,98,51,29,0,0,0,0,184,
67,154,1408,10318,188,48,5034,58,5334,65,35,24,0,0,0,0,154,
68,133,1331,8137,288,54,12040,70,14233,60,31,17,0,0,0,0,133,
69,288,2674,16606,549,89,36872,118,45515,114,57,36,0,0,0,0,288,
70,151,1182,9279,146,39,6449,47,5446,55,27,20,0,0,0,0,151,
71,157,1077,8637,158,35,3263,46,6024,42,21,13,0,0,0,0,157,
72,79,603,4834,50,11,1048,13,1071,21,8,6,0,0,0,0,79,
73,124,1145,8480,178,35,4659,51,6295,55,32,25,0,0,0,0,124,
74,116,1087,7951,179,44,4684,61,5149,53,29,21,0,0,0,0,116,
75,224,1847,13394,329,55,10242,82,20054,85,37,24,0,0,0,0,224,
76,143,1585,10581,311,59,12653,73,13805,89,35,14,0,0,0,0,143,
77,90,779,5736,82,22,1743,25,1795,29,12,8,0,0,0,0,90,
78,86,751,6288,71,17,1230,19,1278,29,15,12,0,0,0,0,86,
79,258,2943,17189,735,114,56846,148,59526,139,71,41,0,0,0,0,258,
80,222,1819,12355,301,57,10222,74,12141,86,36,22,0,0,0,0,222,
81,142,1307,9702,198,47,7393,63,10054,62,26,16,0,0,0,0,142,
82,116,1245,7591,246,50,6425,67,9176,56,28,17,0,0,0,0,116,
83,414,3637,24059,745,149,52791,192,60567,161,79,44,0,0,0,0,414,
84,138,1335,9495,240,41,6011,59,14072,60,24,16,0,0,0,0,138,
85,94,869,6459,106,25,2265,29,3433,35,21,12,0,0,0,0,94,
86,158,1352,9925,248,54,12199,67,13168,63,35,20,0,0,0,0,158,
87,214,1839,13896,302,65,8104,90,10668,97,44,29,0,0,0,0,214,
88,118,989,7375,151,29,5394,45,6073,42,17,11,0,0,0,0,118,
89,134,1327,8609,205,44,5432,62,6624,64,30,15,0,0,0,0,134,
90,106,665,6132,47,7,831,13,902,24,14,12,0,0,0,0,106,
91,127,1121,8609,150,39,4151,45,5696,53,23,16,0,0,0,0,127,
92,107,1088,7911,157,45,4269,54,4327,52,29,14,0,0,0,0,107,
93,141,1288,9143,211,50,6491,67,8005,56,30,20,0,0,0,0,141,
94,113,1054,7395,153,30,3929,42,5578,50,17,12,0,0,0,0,113,
95,111,1000,7891,138,29,3985,39,4386,47,29,24,0,0,0,0,111,
96,167,1598,11746,242,54,11678,59,10782,84,36,20,0,0,0,0,167,
97,190,1737,11788,263,62,9522,76,9270,83,41,20,0,0,0,0,190,
98,237,1946,13226,303,54,13784,69,15441,92,40,28,0,0,0,0,237,
99,167,1558,10279,282,52,8995,67,10116,75,39,21,0,0,0,0,167,
100,135,990,7857,115,25,3551,29,3271,38,21,14,0,0,0,0,135,
