run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,left_to_concrete,conceded
1,95,829,4456,48,7,179,0,0,0,0,0,0,0,0,8.38077,115.856,0,
2,217,1389,11504,101,20,1560,0,0,7,4,1,0,0,0,26.702799999999996,299.104,0,
3,88,627,5965,14,11,365,0,0,3,1,0,0,0,0,13.389949999999999,155.09,0,
4,129,764,7396,18,10,628,0,0,3,2,0,0,0,0,12.95164,192.296,0,
5,179,959,9580,21,20,1192,0,0,5,2,0,0,0,0,25.734959999999997,249.07999999999998,0,
6,144,850,8207,12,14,1310,0,0,11,2,1,0,0,0,19.2653,213.38199999999998,0,
7,175,1067,10223,47,31,1961,0,0,10,6,0,0,0,0,40.18742999999999,265.798,0,
8,74,463,4206,6,4,122,0,0,1,0,0,0,0,0,4.840859999999999,109.356,0,
9,251,1360,12146,114,38,3300,0,0,9,4,1,0,0,0,51.619,315.796,0,
10,108,665,6276,21,14,630,0,0,3,1,1,0,0,0,17.476899999999997,163.176,0,
11,108,652,5593,36,11,626,0,0,4,1,0,0,0,0,14.07638,145.418,0,
12,70,465,4229,6,6,224,0,0,1,0,0,0,0,0,7.36912,109.954,0,
13,86,468,5403,3,2,67,0,0,0,0,0,0,0,0,2.43621,140.47799999999998,0,
14,71,458,4484,8,6,242,0,0,2,1,0,0,0,0,7.416459999999999,116.58399999999999,0,
15,130,734,7613,12,14,916,0,0,4,2,0,0,0,0,18.22908,197.938,0,
16,201,1026,11126,23,21,1406,0,0,9,3,1,0,0,0,27.42778,289.276,0,
17,155,946,9017,51,33,2120,0,0,12,5,1,0,0,0,42.8656,234.44199999999998,0,
18,95,643,5909,38,15,536,0,0,4,2,0,0,0,0,18.35968,153.634,0,
19,133,672,6899,30,13,555,0,0,3,2,0,0,0,0,16.149649999999998,179.374,0,
20,215,1252,12300,78,40,2667,0,0,18,9,3,0,0,0,52.214209999999994,319.8,0,
21,145,829,7934,13,24,1152,0,0,8,6,0,0,0,0,30.149759999999997,206.284,0,
22,134,657,6862,5,7,254,0,0,0,0,0,0,0,0,8.578019999999999,178.41199999999998,0,
23,70,439,4503,2,1,47,0,0,0,0,0,0,0,0,1.25361,117.07799999999999,0,
24,65,427,4388,3,2,92,0,0,2,0,0,0,0,0,2.50196,114.088,0,
25,309,1728,15459,104,33,2096,0,0,13,9,1,0,0,0,42.80248,401.93399999999997,0,
26,105,697,5549,15,8,248,0,0,0,0,0,0,0,0,9.69224,144.274,0,
27,115,606,5652,9,6,262,0,0,1,0,0,0,0,0,7.469059999999999,146.952,0,
28,239,1136,12221,22,20,1150,0,0,4,3,0,0,0,0,25.624499999999998,317.746,0,
29,168,1098,9952,72,24,1839,0,0,6,3,2,0,0,0,31.95657,258.752,0,
30,79,613,4725,55,11,545,0,0,3,2,1,0,0,0,13.86335,122.85,0,
31,149,817,7671,37,9,796,0,0,5,2,0,0,0,0,12.263479999999998,199.446,0,
32,112,527,4963,5,4,105,0,0,0,0,0,0,0,0,4.79615,129.03799999999998,0,
33,112,617,6125,10,9,416,0,0,3,1,0,0,0,0,11.264079999999998,159.25,0,
34,183,1008,10860,31,24,1339,0,0,6,2,1,0,0,0,30.641569999999998,282.36,0,
35,103,678,5864,40,20,739,0,0,4,2,1,0,0,0,24.54357,152.464,0,
36,88,511,5167,5,4,130,0,0,1,1,0,0,0,0,4.8618999999999994,134.34199999999998,0,
37,153,854,8863,16,30,1531,0,0,8,6,0,0,0,0,37.92653,230.438,0,
38,130,799,7257,57,18,1087,0,0,6,4,2,0,0,0,23.198809999999995,188.682,0,
39,85,533,5046,6,5,224,0,0,1,0,0,0,0,0,6.23912,131.196,0,
40,81,508,4782,6,8,343,0,0,2,0,0,0,0,0,9.942089999999999,124.332,0,
41,124,631,6456,6,15,668,0,0,3,0,0,0,0,0,18.70684,167.856,0,
42,73,420,4085,3,2,57,0,0,0,0,0,0,0,0,2.40991,106.21,0,
43,93,520,5246,31,6,459,0,0,1,1,1,0,0,0,7.987169999999999,136.396,0,
44,96,589,5973,16,8,531,0,0,2,2,1,0,0,0,10.43653,155.298,0,
45,88,590,5217,35,10,557,0,0,3,3,0,0,0,0,12.764909999999999,135.642,0,
46,89,492,5036,3,3,159,0,0,0,0,0,0,0,0,3.8081699999999996,130.936,0,
47,94,537,5212,7,10,395,0,0,2,0,0,0,0,0,12.338849999999999,135.512,0,
48,94,617,6196,11,19,802,0,0,5,3,0,0,0,0,23.579259999999998,161.096,0,
49,159,854,9420,24,13,986,0,0,5,4,1,0,0,0,17.283179999999998,244.92,0,
50,149,929,9518,60,23,1385,0,0,5,3,2,0,0,0,29.63255,247.468,0,
51,158,954,8592,39,25,1451,0,0,9,4,0,0,0,0,32.066129999999994,223.392,0,
52,123,699,7294,10,8,516,0,0,3,0,0,0,0,0,10.397079999999999,189.644,0,
53,174,923,10591,11,19,1167,0,0,4,1,0,0,0,0,24.539209999999997,275.366,0,
