run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,left_to_concrete,conceded
1,156,1180,7847,59,33,1559,0,0,2,0,0,0,0,0,41.39017,204.022,0,
2,61,498,4784,13,5,91,0,0,1,1,0,0,0,0,5.889329999999999,124.384,0,
3,242,1383,15046,39,32,2042,0,0,6,4,1,0,0,0,41.53046,391.19599999999997,0,
4,128,769,7200,12,11,717,0,0,2,1,0,0,0,0,14.31571,187.2,0,
5,197,1071,11825,18,37,1779,0,0,3,1,0,0,0,0,46.488769999999995,307.45,0,
6,115,736,7473,10,15,693,0,0,4,1,0,0,0,0,18.77259,194.298,0,
7,169,1007,11177,14,38,1664,0,0,2,0,0,0,0,0,47.31632,290.602,0,
8,76,497,4646,10,8,291,0,0,3,1,0,0,0,0,9.80533,120.79599999999999,0,
9,103,591,5464,11,15,551,0,0,3,1,0,0,0,0,18.39913,142.064,0,
10,135,792,8311,29,22,1104,0,0,4,2,1,0,0,0,27.76352,216.08599999999998,0,
11,178,956,10675,8,20,990,0,0,2,1,0,0,0,0,25.203699999999998,277.55,0,
12,78,525,5412,7,7,272,0,0,2,2,1,0,0,0,8.625359999999999,140.712,0,
13,86,471,5396,3,2,67,0,0,0,0,0,0,0,0,2.43621,140.296,0,
14,120,706,7500,11,19,741,0,0,3,2,0,0,0,0,23.41883,195,0,
15,81,553,5164,35,10,423,0,0,3,2,1,0,0,0,12.412489999999998,134.26399999999998,0,
16,178,1093,11520,18,31,1401,0,0,4,2,0,0,0,0,38.71462999999999,299.52,0,
17,132,833,8077,25,23,1174,0,0,2,1,0,0,0,0,29.07762,210.00199999999998,0,
18,74,530,4915,11,12,459,0,0,3,1,0,0,0,0,14.767169999999998,127.78999999999999,0,
19,202,1018,10667,34,35,1996,0,0,2,1,1,0,0,0,44.799479999999996,277.342,0,
20,92,581,5771,10,14,553,0,0,3,1,0,0,0,0,17.274389999999997,150.046,0,
21,80,525,5127,13,7,388,0,0,5,2,1,0,0,0,8.930439999999999,133.302,0,
22,100,515,4978,4,9,303,0,0,2,1,0,0,0,0,10.966889999999998,129.428,0,
23,131,726,7787,10,10,652,0,0,2,2,0,0,0,0,13.014759999999999,202.462,0,
24,87,559,5170,10,13,472,0,0,3,1,0,0,0,0,15.931359999999998,134.42,0,
25,140,742,8374,9,15,701,0,0,3,1,0,0,0,0,18.79363,217.724,0,
26,77,479,3934,10,8,396,0,0,2,1,0,0,0,0,10.081479999999999,102.28399999999999,0,
27,119,603,6196,10,9,505,0,0,3,2,0,0,0,0,11.498149999999999,161.096,0,
28,205,1129,12652,15,39,1725,0,0,3,1,0,0,0,0,48.60674999999999,328.952,0,
29,84,576,5071,10,8,391,0,0,3,1,0,0,0,0,10.06833,131.846,0,
30,86,598,5702,50,10,373,0,0,3,2,1,0,0,0,12.28099,148.25199999999998,0,
31,120,657,6280,36,4,314,0,0,3,2,1,0,0,0,5.34582,163.28,0,
32,150,731,7391,9,15,617,0,0,2,1,0,0,0,0,18.57271,192.166,0,
33,111,602,5949,7,7,331,0,0,2,1,0,0,0,0,8.780529999999999,154.674,0,
34,91,554,5487,11,13,647,0,0,4,2,0,0,0,0,16.391609999999996,142.662,0,
35,98,552,5130,4,16,565,0,0,3,0,0,0,0,0,19.565949999999997,133.38,0,
36,95,523,5822,4,4,154,0,0,1,1,0,0,0,0,4.92502,151.37199999999999,0,
37,109,622,6937,5,11,431,0,0,2,2,0,0,0,0,13.56353,180.362,0,
38,93,531,5155,6,5,380,0,0,4,1,1,0,0,0,6.649399999999999,134.03,0,
39,116,629,6403,10,13,565,0,0,3,1,0,0,0,0,16.175949999999997,166.47799999999998,0,
40,121,708,7596,9,21,1016,0,0,2,2,0,0,0,0,26.402079999999998,197.49599999999998,0,
41,106,560,6106,6,10,389,0,0,2,2,0,0,0,0,12.32307,158.756,0,
42,79,459,4949,5,4,156,0,0,2,1,0,0,0,0,4.93028,128.674,0,
43,121,1034,6856,70,8,483,0,0,3,1,1,0,0,0,10.310289999999998,178.256,0,
44,190,1268,11983,36,33,1731,0,0,3,1,0,0,0,0,41.84253,311.558,0,
45,86,561,5704,6,8,261,0,0,1,0,0,0,0,0,9.726429999999999,148.304,0,
46,93,570,6083,6,8,191,0,0,1,0,0,0,0,0,9.54233,158.158,0,
47,123,716,7372,17,16,629,0,0,3,3,1,0,0,0,19.73427,191.672,0,
48,95,630,6355,8,14,726,0,0,4,3,0,0,0,0,17.72938,165.23,0,
49,105,561,6120,8,6,268,0,0,2,2,1,0,0,0,7.484839999999999,159.12,0,
50,224,1184,13159,43,28,1870,0,0,7,2,1,0,0,0,36.558099999999996,342.13399999999996,0,
51,221,1152,11774,57,28,2196,0,0,5,4,1,0,0,0,37.415479999999995,306.12399999999997,0,
52,181,924,10531,13,21,1088,0,0,3,2,0,0,0,0,26.59144,273.806,0,
53,342,1719,19519,55,44,3969,0,0,9,5,1,0,0,0,60.15847,507.49399999999997,0,
54,136,837,8236,14,33,1388,0,0,2,1,0,0,0,0,40.94044,214.136,0,
55,111,631,6354,7,12,474,0,0,2,1,0,0,0,0,14.806619999999999,165.20399999999998,0,
56,187,889,9331,15,19,1252,0,0,6,0,0,0,0,0,24.76276,242.606,0,
57,150,829,8456,6,25,975,0,0,2,0,0,0,0,0,30.814249999999998,219.856,0,
58,191,834,9552,6,10,704,0,0,7,2,0,0,0,0,13.15152,248.35199999999998,0,
59,148,866,9222,11,35,1272,0,0,4,1,0,0,0,0,42.89536,239.772,0,
60,164,936,10243,42,12,919,0,0,8,3,1,0,0,0,15.976969999999998,266.318,0,
61,133,704,7193,6,14,654,0,0,3,0,0,0,0,0,17.54002,187.018,0,
62,137,713,8153,6,11,658,0,0,4,2,0,0,0,0,14.16054,211.97799999999998,0,
63,76,444,4254,4,2,150,0,0,2,0,0,0,0,0,2.6544999999999996,110.604,0,
64,115,661,6961,6,10,547,0,0,2,1,0,0,0,0,12.73861,180.986,0,
65,170,957,9858,24,28,1720,0,0,6,3,0,0,0,0,36.163599999999995,256.308,0,
66,130,765,7548,16,14,1129,0,0,3,1,0,0,0,0,18.78927,196.248,0,
67,85,590,5216,17,7,317,0,0,2,1,1,0,0,0,8.74371,135.61599999999999,0,
68,196,1194,12122,47,26,1750,0,0,7,2,1,0,0,0,33.982499999999995,315.17199999999997,0,
69,87,575,5292,8,10,471,0,0,3,1,0,0,0,0,12.53873,137.59199999999998,0,
70,169,973,10884,34,20,1354,0,0,6,3,1,0,0,0,26.161019999999997,282.984,0,
71,162,882,9283,15,34,1486,0,0,1,0,0,0,0,0,42.328179999999996,241.35799999999998,0,
72,102,582,5928,8,12,449,0,0,1,1,0,0,0,0,14.74087,154.128,0,
73,68,417,4291,4,2,81,0,0,1,0,0,0,0,0,2.4730299999999996,111.56599999999999,0,
74,94,542,5087,12,19,571,0,0,2,1,0,0,0,0,22.971729999999997,132.262,0,
75,184,1046,11455,47,24,1451,0,0,5,3,1,0,0,0,30.93613,297.83,0,
76,207,1177,11644,63,42,2381,0,0,6,4,0,0,0,0,53.72203,302.74399999999997,0,
77,187,1146,11918,27,22,1657,0,0,8,5,1,0,0,0,29.21791,309.868,0,
78,96,589,6212,6,11,456,0,0,2,0,0,0,0,0,13.62928,161.512,0,
79,89,537,5422,9,6,305,0,0,2,2,1,0,0,0,7.5821499999999995,140.97199999999998,0,
80,173,833,9206,10,19,987,0,0,2,2,0,0,0,0,24.06581,239.356,0,
81,114,695,7120,38,12,750,0,0,6,4,1,0,0,0,15.532499999999999,185.12,0,
82,169,905,9183,16,29,1744,0,0,3,0,0,0,0,0,37.356719999999996,238.75799999999998,0,
83,206,1367,11834,66,23,1428,0,0,6,2,1,0,0,0,29.745639999999998,307.68399999999997,0,
84,137,818,8295,15,13,993,0,0,5,2,0,0,0,0,17.301589999999997,215.67,0,
85,98,582,5707,8,9,502,0,0,2,0,0,0,0,0,11.490259999999997,148.382,0,
86,100,604,7136,6,12,540,0,0,2,2,1,0,0,0,14.980199999999998,185.536,0,
87,107,602,6639,10,15,434,0,0,2,1,0,0,0,0,18.09142,172.614,0,
88,86,536,5796,31,11,495,0,0,2,2,1,0,0,0,13.73185,150.696,0,
89,110,657,6952,10,16,798,0,0,3,2,0,0,0,0,20.178739999999998,180.75199999999998,0,
90,114,563,6027,29,3,189,0,0,2,2,1,0,0,0,3.8870699999999996,156.702,0,
91,221,1094,12762,12,37,2049,0,0,7,3,1,0,0,0,47.19886999999999,331.812,0,
92,102,647,6726,8,13,541,0,0,1,0,0,0,0,0,16.11283,174.876,0,
93,178,941,9581,22,44,2253,0,0,3,1,0,0,0,0,55.64539,249.106,0,
94,135,738,7560,9,24,1128,0,0,3,0,0,0,0,0,30.086639999999996,196.56,0,
95,164,913,9555,9,25,1409,0,0,4,0,0,0,0,0,31.955669999999998,248.42999999999998,0,
96,143,763,8948,12,17,1063,0,0,6,2,0,0,0,0,22.005689999999998,232.648,0,
97,140,715,7750,33,13,695,0,0,3,2,1,0,0,0,16.51785,201.5,0,
98,89,568,5720,5,15,506,0,0,2,1,0,0,0,0,18.28078,148.72,0,
99,292,1438,14929,23,54,4165,0,0,4,1,0,0,0,0,71.97395,388.154,0,
100,76,472,4841,4,3,217,0,0,3,0,0,0,0,0,3.9607099999999997,125.866,0,
101,113,620,7776,4,13,457,0,0,1,1,0,0,0,0,15.891909999999998,202.176,0,
102,142,786,7737,44,24,1417,0,0,3,3,0,0,0,0,30.846709999999998,201.16199999999998,0,
103,149,761,8180,17,27,1187,0,0,3,1,1,0,0,0,33.63181,212.67999999999998,0,
104,93,627,6470,13,9,449,0,0,4,2,1,0,0,0,11.350869999999999,168.22,0,
105,90,704,6174,73,16,926,0,0,4,2,1,0,0,0,20.515379999999997,160.524,0,
106,69,492,4828,32,4,167,0,0,3,3,1,0,0,0,4.95921,125.52799999999999,0,
107,180,866,9521,16,28,1617,0,0,3,1,0,0,0,0,35.892709999999994,247.546,0,
108,92,565,5706,10,11,475,0,0,4,1,0,0,0,0,13.67925,148.356,0,
109,105,626,6559,35,13,679,0,0,4,1,1,0,0,0,16.475769999999997,170.534,0,
110,106,524,5736,27,4,153,0,0,3,3,2,0,0,0,4.922389999999999,149.136,0,
111,196,1055,12246,14,44,1765,0,0,3,1,0,0,0,0,54.36195,318.39599999999996,0,
112,233,1261,14166,35,47,1768,0,0,4,2,1,0,0,0,57.75983999999999,368.316,0,
113,161,877,8997,15,32,1728,0,0,3,2,1,0,0,0,40.70464,233.922,0,
114,84,508,5312,5,9,308,0,0,1,1,0,0,0,0,10.980039999999999,138.112,0,
115,115,721,7150,64,19,1088,0,0,4,2,1,0,0,0,24.33144,185.89999999999998,0,
116,137,635,6513,36,10,561,0,0,1,1,1,0,0,0,12.775429999999998,169.338,0,
117,116,662,7104,11,18,681,0,0,4,2,1,0,0,0,22.131029999999996,184.70399999999998,0,
118,105,569,6133,8,12,475,0,0,5,4,0,0,0,0,14.809249999999999,159.458,0,
119,107,624,7103,4,14,629,0,0,2,1,0,0,0,0,17.474269999999997,184.678,0,
120,100,656,5700,47,4,150,0,0,3,2,1,0,0,0,4.914499999999999,148.2,0,
121,93,552,6017,5,7,323,0,0,5,1,0,0,0,0,8.75949,156.44199999999998,0,
122,152,822,9754,15,24,1279,0,0,4,2,1,0,0,0,30.483769999999996,253.60399999999998,0,
123,186,893,10332,10,25,1060,0,0,3,3,0,0,0,0,31.037799999999997,268.632,0,
124,71,464,4574,12,7,337,0,0,3,3,1,0,0,0,8.796309999999998,118.92399999999999,0,
125,100,567,5995,6,11,426,0,0,2,0,0,0,0,0,13.55038,155.87,0,
126,134,728,8137,5,17,895,0,0,4,2,0,0,0,0,21.56385,211.56199999999998,0,
127,127,675,7813,6,12,625,0,0,3,0,0,0,0,0,15.20375,203.13799999999998,0,
128,172,843,9315,12,21,1370,0,0,6,2,0,0,0,0,27.333099999999998,242.19,0,
129,126,610,6370,6,10,386,0,0,3,1,0,0,0,0,12.315179999999998,165.62,0,
130,123,607,6527,6,13,489,0,0,2,0,0,0,0,0,15.976069999999998,169.702,0,
131,117,664,7749,7,21,941,0,0,4,3,0,0,0,0,26.204829999999998,201.474,0,
132,100,529,5580,9,11,438,0,0,3,3,1,0,0,0,13.58194,145.07999999999998,0,
133,133,751,8178,8,24,953,0,0,2,1,0,0,0,0,29.626389999999997,212.628,0,
