run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,left_to_concrete,conceded
1,221,1572,11748,119,69,4721,0,0,22,11,7,0,0,0,90.38623,305.448,0,
2,61,458,4753,9,5,63,0,0,1,1,0,0,0,0,5.815689999999999,123.57799999999999,0,
3,127,753,7608,45,39,2068,0,0,15,4,2,0,0,0,49.50883999999999,197.808,0,
4,132,745,7637,24,37,1325,0,0,11,8,5,0,0,0,45.29474999999999,198.56199999999998,0,
5,185,1030,10375,60,65,3528,0,0,26,11,6,0,0,0,82.72863999999998,269.75,0,
6,114,640,7046,11,27,1011,0,0,9,3,2,0,0,0,33.168929999999996,183.196,0,
7,228,1214,15125,34,61,4306,0,0,14,8,4,0,0,0,80.25478,393.25,0,
8,76,462,4653,10,14,313,0,0,3,2,1,0,0,0,16.643189999999997,120.978,0,
9,105,836,5989,51,26,726,0,0,6,4,2,0,0,0,31.289379999999994,155.714,0,
10,136,879,8635,70,56,2800,0,0,19,12,6,0,0,0,70.64399999999999,224.51,0,
11,158,830,9742,16,28,1397,0,0,6,3,2,0,0,0,35.31411,253.292,0,
12,70,458,4231,3,12,336,0,0,3,0,0,0,0,0,14.443679999999999,110.006,0,
13,86,424,5372,3,6,104,0,0,0,0,0,0,0,0,7.053519999999999,139.672,0,
14,109,547,6936,6,13,382,0,0,3,2,1,0,0,0,15.694659999999997,180.33599999999998,0,
15,108,632,7020,20,31,843,0,0,8,7,3,0,0,0,37.24708999999999,182.51999999999998,0,
16,168,915,9827,61,61,4576,0,0,25,10,6,0,0,0,80.96488,255.50199999999998,0,
17,123,708,7270,26,40,1866,0,0,14,6,4,0,0,0,50.10758,189.01999999999998,0,
18,80,508,5657,12,20,559,0,0,4,4,2,0,0,0,24.070169999999997,147.082,0,
19,232,1153,12561,75,83,8769,0,0,30,11,7,0,0,0,116.85247,326.586,0,
20,92,527,5810,13,18,528,0,0,3,2,1,0,0,0,21.728639999999995,151.06,0,
21,141,745,8755,9,30,1106,0,0,5,1,1,0,0,0,36.80878,227.63,0,
22,100,463,4973,5,11,283,0,0,2,1,0,0,0,0,13.17429,129.298,0,
23,169,928,9806,63,60,4655,0,0,20,10,6,0,0,0,80.04265,254.956,0,
24,87,519,5155,9,18,470,0,0,3,2,1,0,0,0,21.576099999999997,134.03,0,
25,134,650,7833,16,32,1014,0,0,8,3,2,0,0,0,38.82682,203.658,0,
26,77,431,3954,9,15,404,0,0,3,1,0,0,0,0,18.01252,102.804,0,
27,125,561,6924,10,20,638,0,0,4,2,1,0,0,0,24.277939999999997,180.024,0,
28,208,1055,12460,35,54,2398,0,0,15,8,4,0,0,0,67.32674,323.96,0,
29,134,805,8661,27,41,2081,0,0,13,7,5,0,0,0,51.80303,225.18599999999998,0,
30,89,531,6003,10,19,469,0,0,4,3,2,0,0,0,22.70347,156.078,0,
31,110,510,6007,4,9,194,0,0,2,1,0,0,0,0,10.680219999999998,156.182,0,
32,152,663,7878,16,27,976,0,0,6,4,2,0,0,0,33.076879999999996,204.828,0,
33,130,629,7384,9,21,701,0,0,3,2,1,0,0,0,25.573629999999998,191.98399999999998,0,
34,100,572,6410,18,30,1003,0,0,7,3,2,0,0,0,36.53789,166.66,0,
35,98,545,5250,18,33,1208,0,0,10,5,3,0,0,0,40.46704,136.5,0,
36,94,457,5745,4,8,194,0,0,1,0,0,0,0,0,9.55022,149.37,0,
37,109,553,6926,6,17,488,0,0,4,2,0,0,0,0,20.493439999999996,180.076,0,
