run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,left_to_concrete,conceded
1,92,898,5150,49,11,896,0,0,21,10,9,0,0,0,14.78648,133.9,0,
2,61,581,5116,25,7,778,0,0,23,12,11,0,0,0,9.95614,133.016,0,
3,151,1378,10690,176,74,15812,0,0,74,36,17,0,0,0,125.20555999999999,277.94,0,
4,102,799,6432,27,25,2099,0,0,33,18,16,0,0,0,33.77037,167.232,0,
5,129,952,8154,51,35,2930,0,0,43,25,21,0,0,0,47.2559,212.004,0,
6,180,1845,11822,216,93,23785,0,0,100,50,20,0,0,0,167.64454999999998,307.372,0,
7,175,1646,12995,191,111,24071,0,0,105,50,20,0,0,0,188.73673,337.87,0,
8,88,690,6591,24,20,1855,0,0,33,12,7,0,0,0,27.47865,171.36599999999999,0,
9,83,565,5025,13,11,1179,0,0,24,11,9,0,0,0,15.53077,130.65,0,
10,181,1435,12353,158,95,21022,0,0,77,35,23,0,0,0,162.63786,321.178,0,
11,194,1493,12485,141,96,14345,0,0,93,38,25,0,0,0,146.20735,324.60999999999996,0,
12,85,717,6289,35,29,2763,0,0,36,20,12,0,0,0,40.03668999999999,163.51399999999998,0,
13,86,539,5729,7,8,1006,0,0,23,14,13,0,0,0,11.68578,148.95399999999998,0,
14,206,1675,13204,151,81,25278,0,0,96,39,27,0,0,0,158.01113999999998,343.304,0,
15,153,1290,10046,162,83,16975,0,0,67,43,27,0,0,0,138.43425,261.19599999999997,0,
16,129,1175,9599,127,63,13284,0,0,60,30,16,0,0,0,106.12692,249.57399999999998,0,
17,153,1274,10972,107,70,15897,0,0,75,47,31,0,0,0,120.90911,285.272,0,
18,81,754,5999,44,38,2983,0,0,40,21,11,0,0,0,50.785289999999996,155.974,0,
19,327,2559,20468,335,179,54529,0,0,176,80,35,0,0,0,345.68127,532.168,0,
20,102,879,7090,67,48,4805,0,0,49,23,16,0,0,0,66.87715,184.34,0,
21,80,578,5486,17,20,1487,0,0,26,13,12,0,0,0,26.51081,142.636,0,
22,100,577,5350,20,22,1555,0,0,25,10,4,0,0,0,28.94965,139.1,0,
23,83,641,5877,20,21,1893,0,0,32,21,16,0,0,0,28.708589999999997,152.802,0,
24,91,704,6187,33,30,2807,0,0,37,15,5,0,0,0,41.28241,160.862,0,
25,104,655,6469,16,21,1912,0,0,33,18,14,0,0,0,28.758559999999996,168.194,0,
26,82,565,4887,13,18,1197,0,0,22,10,8,0,0,0,23.488109999999995,127.062,0,
27,167,1243,10306,86,61,8288,0,0,77,42,25,0,0,0,90.72743999999999,267.95599999999996,0,
28,104,787,6849,40,40,2621,0,0,39,21,12,0,0,0,52.09323,178.07399999999998,0,
29,120,1068,8567,81,55,9070,0,0,62,32,13,0,0,0,86.0041,222.742,0,
30,103,739,6450,26,30,2250,0,0,32,15,10,0,0,0,39.817499999999995,167.7,0,
31,100,546,4889,6,10,837,0,0,19,10,9,0,0,0,13.501309999999998,127.11399999999999,0,
32,255,1843,15531,143,93,18130,0,0,108,48,28,0,0,0,152.7719,403.806,0,
33,113,763,7007,30,22,2516,0,0,35,19,14,0,0,0,31.47708,182.182,0,
34,94,749,7163,23,25,1992,0,0,39,23,20,0,0,0,33.48896,186.238,0,
35,129,1054,8171,97,56,10885,0,0,57,29,20,0,0,0,91.90754999999999,212.446,0,
36,95,632,6259,12,11,1746,0,0,29,16,15,0,0,0,17.02198,162.73399999999998,0,
37,156,1205,10488,94,76,9558,0,0,79,41,20,0,0,0,111.01754,272.688,0,
38,102,727,6931,20,30,2197,0,0,36,22,20,0,0,0,39.67811,180.206,0,
39,295,2351,18810,280,129,56783,0,0,136,64,39,0,0,0,295.10929,489.06,0,
40,193,1546,13769,151,94,24605,0,0,98,50,32,0,0,0,170.93115,357.99399999999997,0,
41,169,1155,10889,60,61,9781,0,0,75,43,26,0,0,0,94.65402999999999,283.114,0,
42,82,565,5467,16,14,1239,0,0,24,11,9,0,0,0,19.07857,142.142,0,
43,120,730,7723,24,24,2562,0,0,40,17,13,0,0,0,33.858059999999995,200.798,0,
44,117,1045,8946,99,54,9995,0,0,55,24,15,0,0,0,87.30685,232.59599999999998,0,
45,89,663,6529,26,20,2456,0,0,32,15,11,0,0,0,29.059279999999998,169.754,0,
46,93,632,6568,16,13,1884,0,0,36,16,14,0,0,0,19.64492,170.768,0,
47,112,809,7505,48,43,3105,0,0,47,26,18,0,0,0,56.75615,195.13,0,
48,117,1084,8387,103,65,9990,0,0,68,28,10,0,0,0,99.72369999999998,218.06199999999998,0,
49,201,1690,12629,194,107,21142,0,0,103,54,29,0,0,0,176.51345999999998,328.354,0,
50,101,853,7177,49,33,5001,0,0,44,21,16,0,0,0,50.44263,186.602,0,
51,184,1374,11570,97,81,11729,0,0,87,38,21,0,0,0,122.37726999999998,300.82,0,
52,258,1457,14371,81,80,10389,0,0,85,35,21,0,0,0,117.72306999999999,373.64599999999996,0,
53,111,927,7882,54,49,4737,0,0,50,26,15,0,0,0,67.82831,204.932,0,
54,122,1037,8527,74,54,6413,0,0,65,31,15,0,0,0,77.88619,221.702,0,
55,106,784,6131,69,50,5787,0,0,39,17,11,0,0,0,71.71981,159.406,0,
56,108,804,6951,48,44,3638,0,0,45,28,16,0,0,0,59.28794,180.726,0,
57,135,974,8730,59,53,5297,0,0,55,34,21,0,0,0,73.82110999999999,226.98,0,
58,168,925,8832,41,34,4663,0,0,48,19,11,0,0,0,50.68369,229.63199999999998,0,
59,234,2684,16163,650,103,46635,0,0,128,67,41,0,0,0,239.04004999999998,420.238,0,
60,173,1554,12071,186,81,21769,0,0,85,43,25,0,0,0,148.78247,313.846,0,
61,130,902,7912,60,47,4230,0,0,50,24,13,0,0,0,64.2349,205.712,0,
62,129,950,8347,63,50,7251,0,0,52,25,17,0,0,0,75.57012999999999,217.022,0,
63,80,554,5134,8,10,859,0,0,24,11,9,0,0,0,13.559169999999998,133.48399999999998,0,
64,160,1126,10354,78,61,8685,0,0,57,26,14,0,0,0,91.77154999999999,269.204,0,
65,94,765,6982,32,37,2421,0,0,39,20,16,0,0,0,48.177229999999994,181.53199999999998,0,
66,140,1194,9910,121,74,11368,0,0,67,37,25,0,0,0,113.51783999999999,257.65999999999997,0,
67,92,723,6095,44,41,3132,0,0,36,20,9,0,0,0,54.56716,158.47,0,
68,156,1354,11478,96,61,11480,0,0,80,40,21,0,0,0,99.1224,298.428,0,
69,276,2029,15999,202,105,35410,0,0,107,49,34,0,0,0,211.7783,415.974,0,
70,151,1040,9279,44,47,5446,0,0,55,28,20,0,0,0,67.43297999999999,241.254,0,
71,139,746,7264,14,18,1543,0,0,30,12,9,0,0,0,24.398089999999996,188.864,0,
72,79,520,4834,11,13,1071,0,0,21,8,6,0,0,0,17.506729999999997,125.684,0,
73,124,923,8480,68,51,6295,0,0,55,32,25,0,0,0,74.18584999999999,220.48,0,
74,110,877,7330,70,58,5092,0,0,47,28,18,0,0,0,78.93195999999999,190.57999999999998,0,
75,127,1001,9009,65,52,5639,0,0,56,30,13,0,0,0,73.59056999999999,234.23399999999998,0,
76,93,802,7218,56,40,6572,0,0,46,21,10,0,0,0,62.484359999999995,187.66799999999998,0,
77,173,1228,9990,75,69,6293,0,0,61,34,23,0,0,0,94.52059,259.74,0,
78,86,666,6604,22,24,1536,0,0,33,19,15,0,0,0,31.159679999999998,171.70399999999998,0,
79,108,780,6896,32,31,2668,0,0,41,23,17,0,0,0,42.046839999999996,179.296,0,
80,222,1412,12355,98,74,12141,0,0,86,36,22,0,0,0,115.55082999999999,321.22999999999996,0,
81,131,1002,9052,64,52,7377,0,0,64,23,15,0,0,0,78.16150999999999,235.35199999999998,0,
82,179,1761,12423,256,117,27953,0,0,100,51,29,0,0,0,205.72638999999998,322.998,0,
83,414,2969,24059,331,192,60567,0,0,161,80,44,0,0,0,376.25121,625.534,0,
84,131,1076,8823,99,66,9096,0,0,58,34,20,0,0,0,98.50247999999999,229.398,0,
85,94,757,6459,50,29,3433,0,0,35,20,12,0,0,0,41.79879,167.934,0,
86,192,1347,11454,126,74,18312,0,0,77,35,23,0,0,0,131.78055999999998,297.804,0,
87,134,1056,9167,73,47,5632,0,0,62,28,12,0,0,0,67.92215999999999,238.34199999999998,0,
88,95,636,5592,26,25,2354,0,0,29,12,6,0,0,0,34.441019999999995,145.392,0,
89,132,1077,8577,87,61,7589,0,0,63,33,14,0,0,0,88.88906999999999,223.00199999999998,0,
90,106,587,6132,12,13,902,0,0,24,14,12,0,0,0,17.06226,159.432,0,
91,128,940,8649,39,42,4921,0,0,53,21,14,0,0,0,60.402229999999996,224.874,0,
92,104,895,7612,56,51,4210,0,0,49,25,11,0,0,0,68.7023,197.91199999999998,0,
93,105,867,7318,46,51,4329,0,0,48,26,13,0,0,0,69.01527,190.268,0,
94,148,1333,10510,163,78,20912,0,0,77,38,21,0,0,0,143.13855999999998,273.26,0,
95,111,877,7891,47,39,4386,0,0,47,27,24,0,0,0,55.60517999999999,205.166,0,
96,167,1336,11746,74,59,10782,0,0,84,35,20,0,0,0,95.02665999999999,305.39599999999996,0,
97,128,1009,8292,101,51,10558,0,0,49,25,14,0,0,0,85.39753999999999,215.59199999999998,0,
98,237,1636,13226,112,69,15441,0,0,92,40,28,0,0,0,118.57983,343.876,0,
99,239,1969,15506,237,114,29639,0,0,118,60,37,0,0,0,206.77057,403.156,0,
100,150,987,8858,51,44,5909,0,0,50,22,16,0,0,0,65.26067,230.308,0,
101,131,1020,9682,58,57,4738,0,0,68,30,13,0,0,0,76.87093999999999,251.732,0,
102,179,1535,11226,233,99,25317,0,0,84,47,28,0,0,0,178.45371,291.876,0,
103,141,954,8460,53,47,4864,0,0,47,28,21,0,0,0,65.90231999999999,219.95999999999998,0,
104,149,1008,9385,63,49,6387,0,0,56,26,17,0,0,0,72.16781,244.01,0,
105,160,869,8349,36,32,2989,0,0,38,19,16,0,0,0,44.021069999999995,217.07399999999998,0,
106,72,533,5559,6,9,1243,0,0,25,12,11,0,0,0,13.439089999999998,144.534,0,
107,336,2847,21799,406,211,62009,0,0,195,113,58,0,0,0,401.51366999999993,566.774,0,
108,294,2005,17866,190,125,22134,0,0,112,65,47,0,0,0,199.46242,464.51599999999996,0,
109,61,501,4951,12,5,707,0,0,22,7,6,0,0,0,7.509409999999999,128.726,0,
110,95,509,5081,11,15,853,0,0,18,11,10,0,0,0,19.19339,132.106,0,
111,300,2448,18984,358,130,55600,0,0,137,70,41,0,0,0,293.128,493.584,0,
112,154,703,7144,13,21,1256,0,0,28,15,12,0,0,0,27.033279999999998,185.744,0,
113,118,940,8234,46,45,4838,0,0,54,21,13,0,0,0,63.57393999999999,214.084,0,
