run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,left_to_concrete,conceded
1,258,2081,20933,103,16,1091,0,0,6,4,2,0,0,0,20.94933,544.2579999999999,0,
2,339,2496,29303,45,20,1849,0,0,11,4,1,0,0,0,27.46287,761.8779999999999,0,
3,406,3186,30035,128,25,3433,0,0,17,6,3,0,0,0,37.278789999999994,780.91,0,
4,491,3369,36010,131,38,3810,0,0,18,12,6,0,0,0,52.9603,936.26,0,
5,322,2118,26165,33,29,1847,0,0,7,4,0,0,0,0,37.62761,680.29,0,
6,359,2319,28683,19,18,2283,0,0,16,3,1,0,0,0,26.344289999999997,745.7579999999999,0,
7,281,1902,24467,53,20,1404,0,0,8,6,0,0,0,0,26.292519999999996,636.1419999999999,0,
8,337,2212,28960,52,26,1846,0,0,13,7,3,0,0,0,34.23497999999999,752.9599999999999,0,
9,412,2582,29609,31,49,3430,0,0,8,4,1,0,0,0,64.3909,769.834,0,
10,480,2955,34033,54,55,4178,0,0,16,10,3,0,0,0,73.13813999999999,884.858,0,
11,396,2592,28418,39,52,5794,0,0,5,3,0,0,0,0,73.99821999999999,738.8679999999999,0,
12,585,3564,40437,53,41,5446,0,0,24,10,5,0,0,0,60.65298,1051.3619999999999,0,
13,343,2084,25565,22,27,1691,0,0,6,3,1,0,0,0,34.95733,664.6899999999999,0,
14,335,2144,26013,24,35,1780,0,0,6,3,0,0,0,0,44.231399999999994,676.338,0,
15,459,2984,33894,101,59,4455,0,0,14,9,5,0,0,0,78.38664999999999,881.2439999999999,0,
16,327,2200,26315,38,22,1730,0,0,8,5,2,0,0,0,29.4099,684.1899999999999,0,
17,304,1987,22977,28,24,1843,0,0,12,5,2,0,0,0,31.96709,597.4019999999999,0,
18,520,3419,36516,144,53,6460,0,0,19,10,3,0,0,0,76.87979999999999,949.4159999999999,0,
19,385,2373,28582,15,38,2898,0,0,9,3,0,0,0,0,50.56174,743.132,0,
20,376,2232,28861,11,32,2334,0,0,7,5,3,0,0,0,42.29841999999999,750.386,0,
21,453,3001,36839,20,71,2977,0,0,7,4,0,0,0,0,88.05950999999999,957.814,0,
22,280,1939,22766,65,24,1425,0,0,6,2,1,0,0,0,30.867749999999997,591.9159999999999,0,
23,563,3500,38201,79,50,5358,0,0,20,7,2,0,0,0,70.59154,993.226,0,
24,221,1442,18475,9,9,706,0,0,6,2,0,0,0,0,12.026779999999999,480.34999999999997,0,
25,359,2310,27455,59,31,2296,0,0,8,4,2,0,0,0,41.068479999999994,713.8299999999999,0,
26,348,2226,26469,17,25,1855,0,0,10,2,0,0,0,0,33.12864999999999,688.194,0,
27,291,1672,22571,12,15,660,0,0,5,2,0,0,0,0,18.6858,586.846,0,
28,325,2072,25778,32,19,1787,0,0,11,4,3,0,0,0,26.16981,670.228,0,
29,502,3573,35006,75,46,5833,0,0,18,12,6,0,0,0,67.32079,910.156,0,
30,288,1940,22978,71,20,1319,0,0,10,4,1,0,0,0,26.068969999999997,597.428,0,
31,324,2129,25010,17,23,1958,0,0,6,5,2,0,0,0,31.139539999999997,650.26,0,
32,324,2073,23578,39,32,3084,0,0,10,6,1,0,0,0,44.27092,613.028,0,
33,277,1829,22631,9,19,1123,0,0,4,1,0,0,0,0,24.423489999999997,588.406,0,
