run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,left_to_concrete,conceded
1,156,1143,7757,60,33,1629,0,0,2,0,0,0,0,0,41.57427,201.682,0,
2,61,494,4774,13,5,89,0,0,1,1,0,0,0,0,5.8840699999999995,124.124,0,
3,242,1382,14956,37,35,2193,0,0,6,4,1,0,0,0,45.317589999999996,388.856,0,
4,128,773,7170,9,10,639,0,0,2,0,0,0,0,0,12.980569999999998,186.42,0,
5,171,929,9954,14,35,1594,0,0,2,1,0,0,0,0,43.742219999999996,258.804,0,
6,115,698,7433,8,19,808,0,0,4,2,0,0,0,0,23.595039999999997,193.25799999999998,0,
7,170,992,10950,18,42,1809,0,0,2,1,0,0,0,0,52.21766999999999,284.7,0,
8,76,497,4626,7,8,300,0,0,3,1,0,0,0,0,9.828999999999999,120.276,0,
9,125,701,6665,11,18,901,0,0,4,1,0,0,0,0,22.709629999999997,173.29,0,
10,135,782,8251,24,22,1063,0,0,4,2,1,0,0,0,27.65569,214.52599999999998,0,
11,178,953,10605,6,21,1064,0,0,2,1,0,0,0,0,26.528319999999997,275.72999999999996,0,
12,78,517,5392,4,7,282,0,0,2,2,1,0,0,0,8.65166,140.192,0,
13,86,459,5386,2,2,78,0,0,0,0,0,0,0,0,2.46514,140.036,0,
14,185,1042,11213,12,39,1573,0,0,5,4,1,0,0,0,48.20698999999999,291.538,0,
15,129,743,7551,6,15,868,0,0,4,1,0,0,0,0,19.23284,196.326,0,
16,178,977,11400,8,33,1478,0,0,4,2,0,0,0,0,41.17714,296.4,0,
17,197,1023,11544,9,19,1262,0,0,4,2,0,0,0,0,24.78906,300.144,0,
18,74,515,4895,8,9,540,0,0,3,1,0,0,0,0,11.590199999999998,127.27,0,
19,202,997,10577,22,37,2175,0,0,2,1,1,0,0,0,47.530249999999995,275.002,0,
20,119,691,7450,8,16,781,0,0,5,1,0,0,0,0,20.13403,193.7,0,
21,217,1394,12797,49,25,1284,0,0,7,3,0,0,0,0,31.62692,332.722,0,
22,100,583,4958,11,9,311,0,0,2,1,0,0,0,0,10.987929999999999,128.908,0,
23,148,836,9315,26,7,684,0,0,4,2,1,0,0,0,9.708919999999999,242.19,0,
24,87,591,5140,11,14,490,0,0,3,1,0,0,0,0,17.1087,133.64,0,
25,140,770,8324,11,14,702,0,0,3,1,0,0,0,0,17.666259999999998,216.42399999999998,0,
26,77,463,3924,9,8,261,0,0,2,1,0,0,0,0,9.726429999999999,102.024,0,
27,119,592,6176,6,8,401,0,0,3,1,0,0,0,0,10.094629999999999,160.576,0,
28,116,665,6992,4,19,717,0,0,2,1,0,0,0,0,23.35571,181.792,0,
29,84,554,5051,7,9,437,0,0,3,2,0,0,0,0,11.319309999999998,131.326,0,
30,107,649,6626,9,13,770,0,0,3,2,0,0,0,0,16.7151,172.27599999999998,0,
31,148,728,7299,8,10,867,0,0,3,2,0,0,0,0,13.58021,189.774,0,
32,242,1177,13320,38,31,1508,0,0,8,6,1,0,0,0,38.996039999999994,346.32,0,
33,111,632,5929,7,7,344,0,0,2,1,0,0,0,0,8.81472,154.154,0,
34,91,560,5467,9,12,507,0,0,4,2,0,0,0,0,14.89341,142.142,0,
35,98,557,5100,6,17,611,0,0,3,0,0,0,0,0,20.816929999999996,132.6,0,
36,95,529,5812,4,4,169,0,0,1,1,0,0,0,0,4.9644699999999995,151.112,0,
37,108,600,6434,4,9,415,0,0,2,2,0,0,0,0,11.261449999999998,167.284,0,
38,93,521,5135,5,5,411,0,0,4,1,1,0,0,0,6.730929999999999,133.51,0,
39,120,670,7354,24,11,631,0,0,3,3,1,0,0,0,14.08953,191.20399999999998,0,
40,119,697,7539,7,18,891,0,0,2,2,0,0,0,0,22.683329999999998,196.01399999999998,0,
41,117,630,6890,6,14,594,0,0,2,2,0,0,0,0,17.382219999999997,179.14,0,
42,79,520,4939,7,4,160,0,0,2,1,0,0,0,0,4.940799999999999,128.414,0,
43,123,620,6853,9,9,587,0,0,3,2,1,0,0,0,11.713809999999999,178.178,0,
44,145,832,9200,11,21,1188,0,0,2,1,0,0,0,0,26.854439999999997,239.2,0,
45,86,539,5674,6,9,287,0,0,1,0,0,0,0,0,10.924809999999997,147.524,0,
46,93,527,6063,5,9,220,0,0,1,1,0,0,0,0,10.748599999999998,157.638,0,
47,123,666,7342,9,17,669,0,0,3,3,1,0,0,0,20.969469999999998,190.892,0,
48,123,768,8103,12,23,1033,0,0,4,3,0,0,0,0,28.706789999999998,210.678,0,
49,98,524,5811,6,4,169,0,0,2,2,1,0,0,0,4.9644699999999995,151.08599999999998,0,
50,222,1161,12817,38,28,1914,0,0,7,2,1,0,0,0,36.67382,333.24199999999996,0,
51,221,1136,11714,30,28,2147,0,0,5,4,1,0,0,0,37.286609999999996,304.56399999999996,0,
52,264,1323,15812,11,22,1449,0,0,6,4,1,0,0,0,28.67087,411.11199999999997,0,
53,342,1721,19439,50,44,4141,0,0,9,5,1,0,0,0,60.61083,505.414,0,
54,136,876,8116,17,42,1544,0,0,2,1,0,0,0,0,51.52072,211.016,0,
55,111,630,6334,4,12,477,0,0,2,1,0,0,0,0,14.814509999999999,164.684,0,
56,187,886,9301,11,19,1301,0,0,6,0,0,0,0,0,24.89163,241.826,0,
57,150,795,8376,4,28,1033,0,0,2,0,0,0,0,0,34.35679,217.77599999999998,0,
58,191,823,9522,6,9,722,0,0,7,2,0,0,0,0,12.068859999999997,247.572,0,
59,158,900,9749,14,39,1544,0,0,4,2,0,0,0,0,48.13072,253.474,0,
60,144,811,8860,29,11,764,0,0,6,3,1,0,0,0,14.439319999999999,230.35999999999999,0,
61,133,690,7143,3,14,693,0,0,3,0,0,0,0,0,17.64259,185.718,0,
62,137,720,8123,6,11,681,0,0,4,2,0,0,0,0,14.221029999999999,211.19799999999998,0,
63,76,451,4244,2,2,166,0,0,2,0,0,0,0,0,2.69658,110.344,0,
64,115,655,6941,6,10,556,0,0,2,1,0,0,0,0,12.762279999999999,180.46599999999998,0,
65,170,980,9778,16,28,1672,0,0,6,4,0,0,0,0,36.03736,254.22799999999998,0,
66,130,752,7508,13,15,1105,0,0,3,1,0,0,0,0,19.85615,195.208,0,
67,85,511,5206,7,5,221,0,0,2,1,1,0,0,0,6.231229999999999,135.356,0,
68,136,802,8089,8,10,889,0,0,6,2,0,0,0,0,13.638069999999999,210.314,0,
69,87,555,5262,6,10,497,0,0,3,1,0,0,0,0,12.607109999999999,136.81199999999998,0,
70,169,951,10814,20,21,1553,0,0,6,3,1,0,0,0,27.814389999999996,281.164,0,
71,162,863,9203,21,35,1548,0,0,1,0,0,0,0,0,43.62124,239.278,0,
72,101,582,5678,8,11,447,0,0,1,1,0,0,0,0,13.60561,147.628,0,
73,68,408,4281,3,2,82,0,0,1,0,0,0,0,0,2.47566,111.306,0,
74,94,543,5057,8,17,504,0,0,2,0,0,0,0,0,20.535519999999998,131.482,0,
75,184,1038,11385,39,27,1483,0,0,5,3,1,0,0,0,34.410289999999996,296.01,0,
76,207,1125,11534,22,40,2305,0,0,6,3,0,0,0,0,51.26215,299.884,0,
77,187,1113,11848,25,23,1614,0,0,8,5,1,0,0,0,30.23482,308.048,0,
78,96,582,6182,5,12,493,0,0,2,0,0,0,0,0,14.856589999999999,160.732,0,
79,182,947,9813,8,13,1245,0,0,5,2,0,0,0,0,17.964349999999996,255.13799999999998,0,
80,164,794,8477,7,20,949,0,0,2,2,0,0,0,0,25.095869999999998,220.402,0,
81,114,671,7100,16,12,774,0,0,6,4,1,0,0,0,15.595619999999998,184.6,0,
82,169,892,9113,12,30,1742,0,0,3,0,0,0,0,0,38.48146,236.938,0,
83,225,1136,12998,26,20,1432,0,0,5,2,1,0,0,0,26.366159999999997,337.948,0,
84,260,1374,14972,30,29,2252,0,0,10,5,1,0,0,0,38.69275999999999,389.272,0,
85,98,584,5667,3,10,539,0,0,2,0,0,0,0,0,12.717569999999998,147.34199999999998,0,
86,89,557,6076,4,10,427,0,0,2,2,1,0,0,0,12.42301,157.976,0,
87,99,552,6183,6,9,317,0,0,2,1,0,0,0,0,11.003709999999998,160.75799999999998,0,
88,85,522,5744,14,8,435,0,0,2,2,1,0,0,0,10.18405,149.344,0,
89,110,668,6892,10,17,942,0,0,3,2,0,0,0,0,21.687459999999998,179.19199999999998,0,
90,124,606,6249,5,8,372,0,0,2,1,0,0,0,0,10.01836,162.474,0,
91,220,1105,12588,11,39,2087,0,0,7,3,1,0,0,0,49.558809999999994,327.288,0,
92,102,667,6686,4,13,566,0,0,1,0,0,0,0,0,16.178579999999997,173.83599999999998,0,
93,155,863,8142,18,39,1974,0,0,3,0,0,0,0,0,49.26161999999999,211.69199999999998,0,
94,135,760,7510,6,22,1102,0,0,3,0,0,0,0,0,27.75826,195.26,0,
95,164,941,9485,11,26,1459,0,0,4,1,0,0,0,0,33.217169999999996,246.60999999999999,0,
96,143,802,8898,11,17,1101,0,0,6,2,0,0,0,0,22.105629999999998,231.34799999999998,0,
97,136,678,7124,10,13,740,0,0,3,2,0,0,0,0,16.6362,185.224,0,
98,89,572,5670,5,13,500,0,0,2,1,0,0,0,0,16.005,147.42,0,
99,292,1490,14759,34,53,4283,0,0,4,2,0,0,0,0,71.15428999999999,383.734,0,
100,76,517,4831,4,3,227,0,0,3,0,0,0,0,0,3.9870099999999997,125.606,0,
101,113,652,7736,7,14,492,0,0,1,1,0,0,0,0,17.11396,201.136,0,
102,106,628,6036,24,17,849,0,0,4,3,1,0,0,0,21.44287,156.93599999999998,0,
103,149,758,8002,12,22,996,0,0,3,2,1,0,0,0,27.47948,208.052,0,
104,93,589,6440,7,8,458,0,0,4,2,1,0,0,0,10.244539999999999,167.44,0,
105,90,597,6144,18,13,741,0,0,4,2,1,0,0,0,16.63883,159.744,0,
106,69,493,4818,28,4,167,0,0,3,3,1,0,0,0,4.95921,125.268,0,
107,148,721,7650,10,14,752,0,0,3,1,0,0,0,0,17.797759999999997,198.89999999999998,0,
108,92,576,5686,9,11,490,0,0,4,1,0,0,0,0,13.7187,147.83599999999998,0,
109,70,492,4727,8,6,363,0,0,3,1,0,0,0,0,7.73469,122.902,0,
110,99,457,4385,4,4,203,0,0,3,2,0,0,0,0,5.053889999999999,114.00999999999999,0,
111,143,798,8196,15,27,1277,0,0,3,1,0,0,0,0,33.86851,213.096,0,
112,232,1243,13650,35,48,2075,0,0,4,2,1,0,0,0,59.69725,354.9,0,
113,162,894,8957,14,33,1854,0,0,3,2,1,0,0,0,42.166019999999996,232.88199999999998,0,
114,85,516,5475,3,7,323,0,0,1,1,0,0,0,0,8.75949,142.35,0,
115,119,703,6881,20,23,1243,0,0,4,1,0,0,0,0,29.259089999999997,178.906,0,
116,137,632,6493,29,9,394,0,0,1,1,1,0,0,0,11.206219999999998,168.81799999999998,0,
117,116,680,7064,12,16,767,0,0,4,3,1,0,0,0,20.097209999999997,183.664,0,
118,105,580,6113,8,11,469,0,0,5,4,0,0,0,0,13.66347,158.938,0,
119,107,634,7053,4,15,678,0,0,2,1,0,0,0,0,18.73314,183.378,0,
120,253,1238,13178,26,30,2111,0,0,6,5,0,0,0,0,39.45193,342.628,0,
121,93,574,5997,6,7,339,0,0,5,1,0,0,0,0,8.80157,155.922,0,
122,152,856,9704,12,23,1213,0,0,4,2,1,0,0,0,29.18019,252.304,0,
123,234,1186,13497,11,39,1564,0,0,3,3,0,0,0,0,48.183319999999995,350.92199999999997,0,
124,71,510,4564,14,6,322,0,0,3,3,1,0,0,0,7.626859999999999,118.664,0,
125,100,586,5955,5,11,446,0,0,2,0,0,0,0,0,13.602979999999999,154.82999999999998,0,
126,136,778,8207,8,15,949,0,0,4,3,0,0,0,0,19.44587,213.38199999999998,0,
127,127,741,7773,11,13,681,0,0,3,0,0,0,0,0,16.481029999999997,202.09799999999998,0,
128,168,882,9240,12,19,1087,0,0,6,3,0,0,0,0,24.328809999999997,240.23999999999998,0,
129,162,798,8379,17,12,795,0,0,5,4,2,0,0,0,15.650849999999998,217.85399999999998,0,
130,123,645,6507,7,13,503,0,0,2,0,0,0,0,0,16.01289,169.182,0,
131,120,723,7760,7,20,937,0,0,4,3,0,0,0,0,25.06431,201.76,0,
132,100,549,5560,7,7,362,0,0,3,3,1,0,0,0,8.86206,144.56,0,
133,133,807,8088,8,27,934,0,0,2,1,0,0,0,0,32.96642,210.28799999999998,0,
134,215,1056,10750,50,22,1302,0,0,6,1,0,0,0,0,28.28426,279.5,0,
135,86,539,4845,16,8,643,0,0,4,1,1,0,0,0,10.731089999999998,125.97,0,
136,101,486,5019,3,2,102,0,0,2,0,0,0,0,0,2.52826,130.494,0,
137,85,466,5058,5,6,191,0,0,3,2,0,0,0,0,7.282329999999999,131.50799999999998,0,
138,71,431,4208,6,4,255,0,0,2,1,0,0,0,0,5.19065,109.408,0,
139,107,575,6191,6,9,612,0,0,3,1,0,0,0,0,11.779559999999998,160.96599999999998,0,
140,232,1103,12515,20,20,1343,0,0,8,2,1,0,0,0,26.132089999999998,325.39,0,
141,224,1227,13751,8,33,1666,0,0,5,2,0,0,0,0,41.67158,357.526,0,
142,122,746,7642,6,22,1044,0,0,2,1,0,0,0,0,27.605719999999998,198.69199999999998,0,
143,107,627,6875,8,18,620,0,0,2,1,0,0,0,0,21.970599999999997,178.75,0,
144,101,516,5527,5,7,246,0,0,2,0,0,0,0,0,8.55698,143.702,0,
145,102,483,4758,2,2,101,0,0,2,0,0,0,0,0,2.5256299999999996,123.708,0,
146,215,876,9729,6,10,792,0,0,4,1,0,0,0,0,13.382959999999999,252.95399999999998,0,
147,104,632,6658,20,11,413,0,0,2,1,1,0,0,0,13.51619,173.108,0,
148,127,692,7394,12,11,766,0,0,2,1,0,0,0,0,14.44458,192.244,0,
149,116,738,7795,9,16,921,0,0,4,3,0,0,0,0,20.502229999999997,202.67,0,
150,130,757,8240,9,25,833,0,0,2,1,0,0,0,0,30.440789999999996,214.23999999999998,0,
151,124,691,7715,10,12,891,0,0,4,3,1,0,0,0,15.903329999999999,200.59,0,
152,156,615,6359,4,5,194,0,0,2,1,0,0,0,0,6.16022,165.334,0,
153,128,689,7206,8,18,892,0,0,2,2,0,0,0,0,22.685959999999994,187.356,0,
154,81,504,5269,4,4,256,0,0,3,2,1,0,0,0,5.19328,136.994,0,
155,123,582,6104,5,8,325,0,0,2,1,0,0,0,0,9.894749999999998,158.70399999999998,0,
156,72,448,4670,5,3,252,0,0,2,1,1,0,0,0,4.052759999999999,121.41999999999999,0,
157,95,557,5703,10,8,644,0,0,2,1,0,0,0,0,10.733719999999998,148.278,0,
158,165,926,10317,14,34,1529,0,0,4,2,0,0,0,0,42.441269999999996,268.24199999999996,0,
159,94,549,5859,6,8,273,0,0,3,2,0,0,0,0,9.75799,152.334,0,
160,70,432,4297,4,3,195,0,0,2,0,0,0,0,0,3.90285,111.722,0,
161,122,586,6244,9,10,439,0,0,2,2,0,0,0,0,12.454569999999999,162.344,0,
