run_id,steps,wall_us,ops,solver_us,pivots,solver_work,exact_pivots,exact_work,comparisons,flips_drawn,flips_refused,certified,certificate_failures,false_witnesses,cost_units,run_units,left_to_concrete,conceded
1,92,1228,6150,66,18,1297,0,0,31,16,9,0,0,0,23.751109999999997,159.9,0,
2,61,881,6245,21,12,1013,0,0,35,19,14,0,0,0,16.22419,162.37,0,
3,195,2889,19146,282,122,21040,0,0,163,76,33,0,0,0,193.1952,497.796,0,
4,94,1301,8875,75,46,6078,0,0,65,43,30,0,0,0,67.96513999999999,230.75,0,
5,171,2303,14996,224,86,27413,0,0,116,62,39,0,0,0,169.27618999999999,389.89599999999996,0,
6,91,1071,8282,30,33,2528,0,0,49,26,15,0,0,0,43.93864,215.332,0,
7,258,4774,25869,1071,180,70193,0,0,227,114,67,0,0,0,388.00758999999994,672.5939999999999,0,
8,102,1153,8902,36,25,2661,0,0,52,18,11,0,0,0,35.24843,231.452,0,
9,95,1007,7488,20,21,2556,0,0,45,21,15,0,0,0,30.452279999999995,194.688,0,
10,143,1516,11395,78,49,8915,0,0,71,34,21,0,0,0,78.81645,296.27,0,
11,154,1856,13954,80,59,7431,0,0,108,49,29,0,0,0,86.21352999999999,362.804,0,
12,86,1111,8729,35,31,3039,0,0,57,31,21,0,0,0,43.022569999999995,226.95399999999998,0,
13,86,823,6840,15,13,1120,0,0,34,15,9,0,0,0,17.635599999999997,177.84,0,
14,186,2299,17322,130,88,12314,0,0,143,62,34,0,0,0,131.82582,450.37199999999996,0,
15,158,1671,12865,92,70,11551,0,0,88,46,31,0,0,0,109.47913,334.49,0,
16,167,1419,11359,52,57,4990,0,0,62,37,22,0,0,0,77.5337,295.334,0,
17,174,2066,15855,103,76,11315,0,0,116,60,38,0,0,0,115.63844999999999,412.22999999999996,0,
18,72,993,7094,24,20,2118,0,0,45,18,11,0,0,0,28.170339999999996,184.444,0,
19,227,2382,18750,156,97,22188,0,0,143,68,41,0,0,0,167.96443999999997,487.5,0,
20,122,1419,11043,83,62,7944,0,0,79,40,26,0,0,0,90.95271999999999,287.118,0,
21,80,911,6721,36,33,2403,0,0,38,21,13,0,0,0,43.60989,174.74599999999998,0,
22,107,988,7839,11,20,2212,0,0,46,21,15,0,0,0,28.417559999999998,203.814,0,
23,123,1443,10462,56,46,4312,0,0,68,35,21,0,0,0,63.32056,272.012,0,
24,195,1891,15964,76,75,8930,0,0,100,37,22,0,0,0,108.23589999999999,415.06399999999996,0,
25,504,3839,30643,208,190,27790,0,0,175,85,37,0,0,0,287.7877,796.718,0,
26,92,1028,7641,21,15,2553,0,0,47,29,22,0,0,0,23.664389999999997,198.666,0,
27,94,809,5829,22,15,1202,0,0,29,19,10,0,0,0,20.111259999999998,151.554,0,
28,204,2303,17891,156,86,31592,0,0,130,62,45,0,0,0,180.26695999999998,465.166,0,
29,206,2318,16115,158,77,14116,0,0,126,60,38,0,0,0,124.13507999999999,418.99,0,
30,234,2314,18102,163,117,19285,0,0,116,63,27,0,0,0,182.92954999999998,470.652,0,
31,93,872,6724,12,11,1212,0,0,35,20,16,0,0,0,15.61756,174.82399999999998,0,
32,174,1603,12328,81,57,7619,0,0,70,33,22,0,0,0,84.44797,320.52799999999996,0,
33,119,1224,9027,70,53,6691,0,0,58,40,21,0,0,0,77.48732999999999,234.702,0,
34,87,1111,8436,13,25,3016,0,0,53,32,24,0,0,0,36.18208,219.33599999999998,0,
35,162,1731,13425,79,60,8477,0,0,93,40,24,0,0,0,90.09451,349.05,0,
36,84,851,6661,16,17,1147,0,0,31,14,8,0,0,0,22.226609999999997,173.18599999999998,0,
37,145,1713,13284,72,52,8853,0,0,98,47,28,0,0,0,82.04338999999999,345.38399999999996,0,
38,349,3729,27392,319,167,63667,0,0,201,95,67,0,0,0,356.15421,712.192,0,
39,139,1598,11920,97,57,10408,0,0,80,48,29,0,0,0,91.78304,309.91999999999996,0,
40,121,1490,11020,61,47,7763,0,0,74,37,24,0,0,0,73.52668999999999,286.52,0,
41,156,1816,13611,87,65,10099,0,0,108,48,29,0,0,0,100.01037,353.88599999999997,0,
42,120,967,7569,20,26,1805,0,0,36,18,13,0,0,0,34.12714999999999,196.79399999999998,0,
43,153,1420,11372,55,56,7302,0,0,72,42,26,0,0,0,82.48425999999999,295.67199999999997,0,
44,173,2313,16500,207,101,27371,0,0,132,73,44,0,0,0,186.11572999999999,429,0,
45,78,851,6957,13,21,1447,0,0,36,19,11,0,0,0,27.53561,180.882,0,
46,155,1457,11685,59,54,7596,0,0,75,43,29,0,0,0,80.99748,303.81,0,
47,81,882,6782,22,28,1459,0,0,36,23,14,0,0,0,35.477169999999994,176.332,0,
48,224,2755,20337,164,101,18413,0,0,155,79,49,0,0,0,162.55619,528.762,0,
49,116,1081,7991,23,26,2451,0,0,46,22,17,0,0,0,35.82612999999999,207.766,0,
50,67,842,6525,12,15,1118,0,0,38,21,15,0,0,0,19.89034,169.65,0,
51,446,8684,43530,2443,354,197238,0,0,411,203,112,0,0,0,918.75594,1131.78,0,
52,218,1624,13517,49,43,4765,0,0,73,32,21,0,0,0,61.12195,351.442,0,
53,282,4270,27828,398,166,45573,0,0,244,122,93,0,0,0,307.43699,723.528,0,
54,212,3070,20675,178,92,16548,0,0,167,79,61,0,0,0,147.48123999999999,537.55,0,
55,94,1312,7551,81,51,4896,0,0,54,29,18,0,0,0,70.50648,196.326,0,
56,104,1202,9338,41,34,2888,0,0,65,38,22,0,0,0,46.01544,242.78799999999998,0,
57,333,5887,32424,1332,219,144307,0,0,286,149,85,0,0,0,626.99741,843.024,0,
58,84,1138,7955,45,31,3135,0,0,51,23,15,0,0,0,43.27504999999999,206.82999999999998,0,
59,176,2399,17259,186,99,18908,0,0,130,64,43,0,0,0,161.59804,448.734,0,
60,527,9810,51585,2511,363,346483,0,0,482,221,152,0,0,0,1321.44029,1341.21,0,
61,582,10876,54998,3071,418,514456,0,0,488,250,161,0,0,0,1825.35928,1429.9479999999999,0,
62,83,936,6670,25,18,1555,0,0,37,15,9,0,0,0,24.429649999999995,173.42,0,
63,119,1461,10767,62,37,7809,0,0,71,31,20,0,0,0,62.347669999999994,279.942,0,
64,304,4888,28476,1153,189,90635,0,0,229,113,58,0,0,0,451.94005,740.376,0,
65,3000,56254,241267,19824,2171,9.182118e+06,0,0,2202,1104,478,0,0,0,26602.20034,6272.942,0,
66,248,3305,22805,292,137,51201,0,0,171,75,48,0,0,0,289.46862999999996,592.93,0,
67,3000,52064,242984,12738,1973,3.920714e+06,0,0,2214,1075,490,0,0,0,12540.96782,6317.584,0,
68,115,1413,8934,54,35,4571,0,0,52,23,15,0,0,0,51.571729999999995,232.284,0,
69,134,1951,13901,109,56,8387,0,0,100,45,32,0,0,0,85.33780999999999,361.426,0,
70,141,1505,11930,49,41,7062,0,0,74,31,21,0,0,0,64.90306,310.18,0,
71,81,1074,8246,28,26,2885,0,0,47,24,13,0,0,0,36.967549999999996,214.396,0,
72,505,12493,47773,4564,359,470619,0,0,425,224,128,0,0,0,1643.39797,1242.098,0,
73,382,5671,39483,650,233,125685,0,0,366,181,107,0,0,0,593.84155,1026.558,0,
74,91,978,6929,17,12,1500,0,0,39,19,14,0,0,0,17.505,180.154,0,
75,122,1302,10099,48,48,4329,0,0,62,23,12,0,0,0,65.62527,262.574,0,
76,225,2022,14855,169,81,21351,0,0,97,47,31,0,0,0,147.68312999999998,386.22999999999996,0,
77,288,4155,29768,285,166,23664,0,0,260,136,80,0,0,0,249.81632,773.968,0,
78,162,1741,13726,61,45,7075,0,0,93,52,36,0,0,0,69.45724999999999,356.876,0,
79,119,1641,11501,97,55,8907,0,0,90,48,29,0,0,0,85.57540999999999,299.026,0,
80,105,934,6771,22,20,1849,0,0,33,15,10,0,0,0,27.46287,176.046,0,
81,145,1762,12557,120,69,11260,0,0,89,42,25,0,0,0,107.5838,326.48199999999997,0,
82,264,4692,26211,979,155,61101,0,0,226,109,71,0,0,0,335.84562999999997,681.486,0,
83,277,3386,22032,354,143,68984,0,0,163,83,51,0,0,0,343.01792,572.832,0,
84,301,3973,26857,347,133,61631,0,0,222,105,66,0,0,0,312.37953,698.2819999999999,0,
85,3000,35307,259448,3149,1768,235409,0,0,2384,1195,673,0,0,0,2616.96567,6745.648,0,
86,3000,218358,194803,12004,1687,7.461417e+06,0,0,1474,767,516,0,0,0,21529.83671,5064.878,268,cap
